time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
2.682714e-09,1.36457857,1.34103843,1.32536293,1.37536293,0.02354013999999993,-0.050000000000000044
2.683714e-09,1.36460956,1.34100485,1.32536293,1.37536293,0.023604710000000084,-0.050000000000000044
2.684714e-09,1.36463311,1.34098073,1.32536293,1.37536293,0.023652379999999917,-0.050000000000000044
2.685714e-09,1.36465104,1.34096374,1.32536293,1.37536293,0.023687299999999967,-0.050000000000000044
2.686714e-09,1.36466475,1.34095207,1.32536293,1.37536293,0.02371268000000004,-0.050000000000000044
2.687714e-09,1.36467529,1.34094439,1.32536293,1.37536293,0.02373090000000011,-0.050000000000000044
2.688714e-09,1.36468346,1.34093966,1.32536293,1.37536293,0.02374379999999987,-0.050000000000000044
2.689714e-09,1.36468983,1.34093713,1.32536293,1.37536293,0.023752700000000182,-0.050000000000000044
2.690714e-09,1.36469486,1.34093621,1.32536293,1.37536293,0.023758649999999992,-0.050000000000000044
2.691714e-09,1.36469888,1.34093647,1.32536293,1.37536293,0.02376241000000001,-0.050000000000000044
2.692714e-09,1.36470214,1.34093758,1.32536293,1.37536293,0.023764559999999824,-0.050000000000000044
2.693714e-09,1.36470482,1.34093931,1.32536293,1.37536293,0.023765510000000045,-0.050000000000000044
2.694714e-09,1.36470708,1.34094145,1.32536293,1.37536293,0.023765629999999982,-0.050000000000000044
2.695714e-09,1.36470899,1.3409439,1.32536293,1.37536293,0.023765089999999933,-0.050000000000000044
2.696714e-09,1.36471067,1.34094653,1.32536293,1.37536293,0.023764139999999934,-0.050000000000000044
2.697714e-09,1.36471214,1.34094928,1.32536293,1.37536293,0.02376285999999994,-0.050000000000000044
2.698714e-09,1.36471347,1.34095208,1.32536293,1.37536293,0.023761389999999993,-0.050000000000000044
2.699714e-09,1.36471467,1.34095492,1.32536293,1.37536293,0.02375974999999997,-0.050000000000000044
2.700714e-09,1.36471579,1.34095774,1.32536293,1.37536293,0.023758050000000086,-0.050000000000000044
2.701714e-09,1.36471683,1.34096054,1.32536293,1.37536293,0.023756290000000124,-0.050000000000000044
2.702714e-09,1.36471781,1.34096328,1.32536293,1.37536293,0.02375452999999994,-0.050000000000000044
2.703714e-09,1.36471873,1.34096598,1.32536293,1.37536293,0.0237527500000001,-0.050000000000000044
2.704714e-09,1.36471962,1.34096861,1.32536293,1.37536293,0.023751010000000017,-0.050000000000000044
2.705714e-09,1.36472046,1.34097118,1.32536293,1.37536293,0.023749280000000095,-0.050000000000000044
2.706714e-09,1.36472127,1.34097368,1.32536293,1.37536293,0.02374758999999993,-0.050000000000000044
2.707714e-09,1.36472205,1.34097612,1.32536293,1.37536293,0.023745929999999804,-0.050000000000000044
2.708714e-09,1.3647228,1.34097848,1.32536293,1.37536293,0.02374432000000004,-0.050000000000000044
2.709714e-09,1.36472352,1.34098078,1.32536293,1.37536293,0.023742740000000095,-0.050000000000000044
2.710714e-09,1.36472422,1.340983,1.32536293,1.37536293,0.023741220000000007,-0.050000000000000044
2.711714e-09,1.3647249,1.34098516,1.32536293,1.37536293,0.023739739999999898,-0.050000000000000044
2.712714e-09,1.36472556,1.34098725,1.32536293,1.37536293,0.02373830999999993,-0.050000000000000044
2.713714e-09,1.36472619,1.34098929,1.32536293,1.37536293,0.02373690000000006,-0.050000000000000044
2.714714e-09,1.36472681,1.34099125,1.32536293,1.37536293,0.02373555999999999,-0.050000000000000044
2.715714e-09,1.3647274,1.34099316,1.32536293,1.37536293,0.023734240000000018,-0.050000000000000044
2.716714e-09,1.36472798,1.34099501,1.32536293,1.37536293,0.023732969999999964,-0.050000000000000044
2.717714e-09,1.36472854,1.3409968,1.32536293,1.37536293,0.02373173999999989,-0.050000000000000044
2.718714e-09,1.36472908,1.34099854,1.32536293,1.37536293,0.023730540000000078,-0.050000000000000044
2.719714e-09,1.3647296,1.34100022,1.32536293,1.37536293,0.023729380000000022,-0.050000000000000044
2.720714e-09,1.36473011,1.34100185,1.32536293,1.37536293,0.023728259999999946,-0.050000000000000044
2.721714e-09,1.36473061,1.34100343,1.32536293,1.37536293,0.02372718000000007,-0.050000000000000044
2.722714e-09,1.36473109,1.34100496,1.32536293,1.37536293,0.023726130000000012,-0.050000000000000044
2.723714e-09,1.36473155,1.34100645,1.32536293,1.37536293,0.023725099999999832,-0.050000000000000044
2.724714e-09,1.364732,1.34100789,1.32536293,1.37536293,0.023724110000000076,-0.050000000000000044
2.725714e-09,1.36473244,1.34100928,1.32536293,1.37536293,0.023723160000000076,-0.050000000000000044
2.726714e-09,1.36473287,1.34101063,1.32536293,1.37536293,0.023722240000000117,-0.050000000000000044
2.727714e-09,1.36473328,1.34101194,1.32536293,1.37536293,0.023721340000000035,-0.050000000000000044
2.728714e-09,1.36473368,1.34101321,1.32536293,1.37536293,0.023720469999999994,-0.050000000000000044
