VCTRL_V,Ic_signal_A,ron_signal_ohm,ron_dummy_ohm,ron_avg_ohm,ac_gain_28G_dB
0.1500,0.000216161,725.97,11.14,368.55,-6.799
0.2800,0.000779817,112.31,14.21,63.26,0.233
0.4200,0.00123795,39.35,20.52,29.93,2.049
0.6500,0.00178066,16.83,60.72,38.78,3.246
1.0000,0.00278288,9.35,25875.38,12942.37,4.506
