VCTRL_V,dc_gain_dB,ac_gain_28G_dB,peaking_28G_dB,G_peak_dB,f_peak_Hz,f_3dB_Hz,VCE_V,Vout_CM_V,Ic_signal_A,Ic_dummy_A,Id_tail_signal_A,Id_tail_dummy_A,Id_tail_total_A,steer_ok,op_ok
0.1500,-5.608,-6.693,-1.085,-5.240,5.32177e+08,4.41469e+10,0.8172,1.3529,0.000219832,0.00261747,0.000220112,0.00262397,0.00568817,yes,yes
0.2800,1.050,0.284,-0.766,1.800,5.76859e+08,4.27964e+10,0.8661,1.3513,0.000788209,0.0020679,0.00078939,0.00207236,0.00572351,yes,yes
0.4200,2.757,2.110,-0.647,3.639,5.70253e+08,4.25147e+10,0.8907,1.3501,0.00125689,0.00161224,0.00125906,0.00161532,0.00574876,yes,yes
0.6500,3.821,3.296,-0.525,4.827,5.83541e+08,4.2403e+10,0.9157,1.3505,0.00180541,0.00105904,0.00180905,0.00106076,0.00573961,yes,yes
1.0000,,,,,,,nan,nan,nan,nan,nan,nan,nan,no,no
