time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
8.772457e-09,1.4520859,1.43231481,1.64895954,1.59895954,0.01977108999999988,0.04999999999999982
8.772657e-09,1.45060551,1.43377748,1.64895954,1.59895954,0.016828029999999883,0.04999999999999982
8.773057e-09,1.44752876,1.4367106,1.64895954,1.59895954,0.01081815999999991,0.04999999999999982
8.773857e-09,1.44150311,1.4421918,1.64895954,1.59895954,-0.0006886900000000473,0.04999999999999982
8.774857e-09,1.43492703,1.44793318,1.64895954,1.59895954,-0.013006149999999828,0.04999999999999982
8.775857e-09,1.42972879,1.45238315,1.64895954,1.59895954,-0.022654359999999985,0.04999999999999982
8.776857e-09,1.42579323,1.45574665,1.64895954,1.59895954,-0.02995342000000001,0.04999999999999982
8.777857e-09,1.42284545,1.45828549,1.64895954,1.59895954,-0.035440039999999895,0.04999999999999982
8.778857e-09,1.42062307,1.46021929,1.64895954,1.59895954,-0.03959621999999996,0.04999999999999982
8.779857e-09,1.41893651,1.46170157,1.64895954,1.59895954,-0.04276506000000002,0.04999999999999982
8.780857e-09,1.41765874,1.46283748,1.64895954,1.59895954,-0.045178739999999884,0.04999999999999982
8.781857e-09,1.41669766,1.46370566,1.64895954,1.59895954,-0.04700799999999994,0.04999999999999982
8.782857e-09,1.41598056,1.46436833,1.64895954,1.59895954,-0.04838777000000016,0.04999999999999982
8.783857e-09,1.41544917,1.46487466,1.64895954,1.59895954,-0.04942548999999996,0.04999999999999982
8.784857e-09,1.41505839,1.46526222,1.64895954,1.59895954,-0.05020383000000006,0.04999999999999982
8.785857e-09,1.41477397,1.46555941,1.64895954,1.59895954,-0.05078544000000007,0.04999999999999982
8.786857e-09,1.41457012,1.46578763,1.64895954,1.59895954,-0.051217509999999855,0.04999999999999982
8.787857e-09,1.41442708,1.46596329,1.64895954,1.59895954,-0.05153620999999986,0.04999999999999982
8.788857e-09,1.41432978,1.46609885,1.64895954,1.59895954,-0.05176906999999997,0.04999999999999982
8.789857e-09,1.41426659,1.46620391,1.64895954,1.59895954,-0.051937319999999954,0.04999999999999982
8.790857e-09,1.41422874,1.4662857,1.64895954,1.59895954,-0.05205696000000004,0.04999999999999982
8.791857e-09,1.41420952,1.46634979,1.64895954,1.59895954,-0.05214026999999999,0.04999999999999982
8.792857e-09,1.41420387,1.46640035,1.64895954,1.59895954,-0.0521964800000001,0.04999999999999982
8.793857e-09,1.41420794,1.46644059,1.64895954,1.59895954,-0.05223264999999988,0.04999999999999982
8.794857e-09,1.41421887,1.46647293,1.64895954,1.59895954,-0.05225405999999988,0.04999999999999982
8.795857e-09,1.41423447,1.46649923,1.64895954,1.59895954,-0.05226475999999991,0.04999999999999982
8.796857e-09,1.41425314,1.46652088,1.64895954,1.59895954,-0.05226774000000001,0.04999999999999982
8.797857e-09,1.41427366,1.46653895,1.64895954,1.59895954,-0.0522652899999998,0.04999999999999982
8.798857e-09,1.41429517,1.46655424,1.64895954,1.59895954,-0.052259070000000074,0.04999999999999982
8.799857e-09,1.414317,1.46656738,1.64895954,1.59895954,-0.05225038000000004,0.04999999999999982
8.800857e-09,1.41433873,1.46657881,1.64895954,1.59895954,-0.0522400799999998,0.04999999999999982
8.801857e-09,1.41436001,1.4665889,1.64895954,1.59895954,-0.05222889000000008,0.04999999999999982
8.802857e-09,1.41438064,1.46659791,1.64895954,1.59895954,-0.05221726999999987,0.04999999999999982
8.803571e-09,1.41439488,1.4666038,1.64895954,1.59895954,-0.05220891999999999,0.04999999999999982
8.803671e-09,1.41437826,1.46662395,1.64784843,1.60007065,-0.0522456899999999,0.0477777800000001
8.803871e-09,1.4143452,1.46666776,1.64562621,1.60229287,-0.05232255999999991,0.04333334
8.804271e-09,1.41436959,1.46671132,1.64118176,1.60673732,-0.052341729999999975,0.03444444000000013
8.805071e-09,1.41527482,1.46625366,1.63229287,1.61562621,-0.05097883999999997,0.016666659999999833
8.806071e-09,1.41839472,1.46422256,1.62118176,1.62673732,-0.045827840000000064,-0.005555559999999904
8.807071e-09,1.42353784,1.46032266,1.61007065,1.63784843,-0.03678482000000005,-0.027777780000000085
8.808071e-09,1.43008592,1.4545294,1.59895954,1.64895954,-0.024443479999999962,-0.04999999999999982
8.808171e-09,1.43081885,1.45382059,1.59895954,1.64895954,-0.023001739999999993,-0.04999999999999982
8.808371e-09,1.4322992,1.45236778,1.59895954,1.64895954,-0.020068580000000003,-0.04999999999999982
8.808771e-09,1.43526868,1.44934582,1.59895954,1.64895954,-0.014077139999999932,-0.04999999999999982
8.809571e-09,1.4408202,1.44342158,1.59895954,1.64895954,-0.0026013799999999865,-0.04999999999999982
8.810571e-09,1.44663536,1.43694735,1.59895954,1.64895954,0.009688009999999858,-0.04999999999999982
8.811571e-09,1.45113884,1.43181966,1.59895954,1.64895954,0.019319180000000102,-0.04999999999999982
8.812571e-09,1.4545374,1.42792708,1.59895954,1.64895954,0.026610320000000076,-0.04999999999999982
8.813571e-09,1.457097,1.42500105,1.59895954,1.64895954,0.032095949999999984,-0.04999999999999982
8.814571e-09,1.45904124,1.422785,1.59895954,1.64895954,0.03625623999999994,-0.04999999999999982
8.815571e-09,1.46052664,1.42109375,1.59895954,1.64895954,0.039432890000000054,-0.04999999999999982
8.816571e-09,1.46166038,1.4198034,1.59895954,1.64895954,0.041856980000000155,-0.04999999999999982
8.817571e-09,1.46252258,1.41882418,1.59895954,1.64895954,0.043698399999999804,-0.04999999999999982
8.818571e-09,1.46317661,1.41808512,1.59895954,1.64895954,0.04509149000000012,-0.04999999999999982
8.819571e-09,1.46367252,1.41752935,1.59895954,1.64895954,0.04614317000000012,-0.04999999999999982
8.820571e-09,1.46404856,1.4171128,1.59895954,1.64895954,0.04693575999999999,-0.04999999999999982
8.821429e-09,1.46429743,1.41684116,1.59895954,1.64895954,0.04745627000000008,-0.04999999999999982
8.821529e-09,1.46434163,1.4167957,1.60007065,1.64784843,0.04754593000000007,-0.0477777800000001
8.821729e-09,1.46443202,1.41670652,1.60229287,1.64562621,0.04772550000000009,-0.04333334
8.822129e-09,1.46455907,1.41662735,1.60673732,1.64118176,0.04793172000000001,-0.03444444000000013
8.822929e-09,1.46422571,1.41735291,1.61562621,1.63229287,0.04687280000000005,-0.016666659999999833
8.823929e-09,1.46227062,1.42028403,1.62673732,1.62118176,0.041986590000000046,0.005555559999999904
8.824929e-09,1.45837126,1.42526217,1.63784843,1.61007065,0.03310908999999995,0.027777780000000085
8.825929e-09,1.45252459,1.43165783,1.64895954,1.59895954,0.020866759999999873,0.04999999999999982
8.826029e-09,1.45180806,1.43237601,1.64895954,1.59895954,0.019432050000000034,0.04999999999999982
8.826229e-09,1.45033937,1.43382701,1.64895954,1.59895954,0.016512360000000115,0.04999999999999982
8.826629e-09,1.44728396,1.43673936,1.64895954,1.59895954,0.010544600000000015,0.04999999999999982
8.827429e-09,1.44129417,1.44218741,1.64895954,1.59895954,-0.0008932400000001284,0.04999999999999982
8.828429e-09,1.43475287,1.44789942,1.64895954,1.59895954,-0.013146549999999868,0.04999999999999982
8.829429e-09,1.42958126,1.45232976,1.64895954,1.59895954,-0.02274850000000006,0.04999999999999982
8.830429e-09,1.42566644,1.45568066,1.64895954,1.59895954,-0.03001421999999998,0.04999999999999982
8.831429e-09,1.42273497,1.458212,1.64895954,1.59895954,-0.03547703000000002,0.04999999999999982
