k,h_mV,h_over_h0,kept
-3,-7.088000002208883e-05,4.157191313807711e-07,no
-2,-8.087999996131412e-05,4.743702499931719e-07,no
-1,-0.02605748392843488,0.00015283005899155636,no
0,-170.49973088,1.0,yes
1,-2.579648165714224,0.015129925146508384,yes
2,0.044967834285767574,-0.0002637413798466142,no
3,0.013943691428511248,-8.178131048385646e-05,no
4,-0.003778308571443717,2.2160202552477586e-05,no
5,-0.013115022857124582,7.692107658724172e-05,no
6,-0.01876159428562161,0.00011003884984913127,no
7,-0.02243687999987365,0.00013159481181624285,no
8,-0.024942165714292707,0.00014628859286497842,no
9,-0.02671402285707447,0.00015668073327268863,no
10,-0.028004451428590663,0.00016424924123956873,no
