k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.2519965985712686,-0.005265699908126244,yes
0,-47.85624000000021,1.0,yes
1,-0.14598457142867496,0.003050481429980172,no
2,0.33225699999987074,-0.006942814562946635,yes
3,0.19093228571402937,-0.003989705119207621,no
4,0.10923799999983858,-0.0022826281379364132,no
5,0.06280814285707209,-0.001312433715165918,no
6,0.03627442857139851,-0.0007579874342697702,no
7,0.02098499999978464,-0.0004385008099212255,no
8,0.012098285714226945,-0.00025280476933053854,no
9,0.0068588571425871265,-0.00014332210684723864,no
10,0.0037319999999483942,-7.798356076341095e-05,no
