t_ui,v_outp,v_outn
0.015999999999999945,1.3734597,1.44430545
0.07199999999999976,1.37346202,1.44430445
0.12799999999999956,1.3734639,1.44430376
0.18399999999999936,1.37346546,1.4443033
0.2399999999999992,1.37346675,1.44430302
0.295999999999999,1.37346784,1.44430285
0.3520000000000017,1.37346877,1.44430279
0.4080000000000015,1.37346958,1.4443028
0.4640000000000013,1.37347028,1.44430287
0.5200000000000011,1.3734709,1.44430298
0.576000000000001,1.37347145,1.44430312
0.6320000000000007,1.37347195,1.44430328
0.6880000000000005,1.3734724,1.44430346
0.7440000000000003,1.37347281,1.44430365
0.8000000000000002,1.37347318,1.44430385
0.856,1.37347354,1.44430405
0.9119999999999998,1.37347386,1.44430426
0.9679999999999995,1.37347417,1.44430447
1.0239999999999994,1.37347446,1.44430468
1.0799999999999992,1.37347473,1.44430488
1.135999999999999,1.373475,1.44430509
1.1920000000000017,1.37347525,1.44430529
1.2480000000000016,1.37347549,1.44430549
1.3040000000000014,1.37347572,1.44430568
1.3600000000000012,1.37347594,1.44430588
1.4160000000000008,1.37347616,1.44430607
1.4720000000000006,1.37347636,1.44430625
1.5280000000000005,1.37347657,1.44430644
1.5840000000000003,1.37347676,1.44430662
1.6400000000000001,1.37347696,1.44430679
1.696,1.37347714,1.44430696
1.7519999999999998,1.37347733,1.44430713
1.8079999999999996,1.3734775,1.44430729
1.8639999999999994,1.37347768,1.44430745
1.9199999999999993,1.37347785,1.44430761
1.975999999999999,1.37347802,1.44430777
1.6000000010787207e-06,1.37347808,1.44430783
0.005601599999999901,1.3734664,1.44431957
0.01680160000000044,1.37344597,1.44434015
0.03920160000000152,1.3735044,1.44428481
0.08400160000000079,1.37454348,1.44328941
0.1400016000000006,1.37816436,1.43981846
0.19600160000000041,1.38448209,1.43370878
0.2520016000000002,1.39313723,1.42519918
0.25760159999999904,1.39413626,1.42420615
0.2688015999999996,1.39616534,1.42218536
0.29120160000000067,1.40031771,1.41802964
0.3360015999999999,1.40838432,1.409903
0.39200159999999973,1.41719803,1.4009735
0.44800159999999956,1.42414697,1.39391744
0.5040015999999994,1.42923278,1.38875471
0.5600015999999991,1.43269827,1.38524437
0.6160015999999989,1.43488218,1.38304251
0.6720016000000016,1.43612856,1.38179669
0.7280016000000015,1.43673598,1.38120055
0.7840016000000013,1.43693802,1.3810143
0.8400016000000011,1.43690377,1.38106467
0.8960016000000008,1.43674785,1.3812346
0.9520016000000007,1.43654296,1.38145026
0.9999992000000002,1.43636111,1.38163852
1.005599199999999,1.43635211,1.38164806
1.0167991999999995,1.43633162,1.38166979
1.0391992000000005,1.4361972,1.38181136
1.0839991999999998,1.43505531,1.38300909
1.1399991999999997,1.43141721,1.38679731
1.1959991999999995,1.42515287,1.39323056
1.2519991999999993,1.41650048,1.40194414
1.2575992000000011,1.41549396,1.40294574
1.2687992000000017,1.41344634,1.4049789
1.2911991999999997,1.40923698,1.40913321
1.335999199999999,1.40100253,1.4171851
1.3919992000000017,1.39194641,1.42596461
1.4479992000000015,1.3847852,1.43288068
1.5039992000000013,1.37954469,1.43794436
1.5599992000000011,1.37598262,1.44140046
1.615999200000001,1.37375077,1.44358636
1.6719992000000008,1.3724916,1.44484334
1.7279992000000006,1.37189399,1.44546701
1.7839992000000005,1.37171414,1.44568833
1.8399992000000003,1.37177571,1.44567444
1.8959992,1.3719594,1.44553861
1.9519991999999997,1.37218987,1.4453527
0.007999199999999615,1.372423,1.44515909
0.06399919999999942,1.37263575,1.44498025
0.11999919999999922,1.37281827,1.44482615
0.17599919999999902,1.37296853,1.4446993
0.23199920000000174,1.37308864,1.44459823
0.28799920000000157,1.3731826,1.44451962
0.34399920000000134,1.37325492,1.44445961
0.39999920000000116,1.37330994,1.44441442
0.455999200000001,1.37335144,1.44438076
0.5119992000000008,1.3733826,1.44435587
0.5679992000000006,1.37340593,1.44433759
0.6239992000000004,1.37342341,1.44432419
0.6799992000000002,1.37343654,1.44431441
0.7359992,1.37344645,1.44430726
0.7919991999999998,1.37345397,1.44430205
0.8479991999999996,1.37345975,1.44429825
0.9039991999999994,1.37346421,1.44429549
0.9599991999999993,1.37346771,1.44429348
1.015999199999999,1.37347048,1.44429203
1.0719992000000018,1.37347271,1.444291
1.1279992000000016,1.37347452,1.44429027
1.1839992000000013,1.37347601,1.44428978
1.239999200000001,1.37347725,1.44428947
1.295999200000001,1.37347831,1.44428928
1.3519992000000007,1.37347921,1.4442892
1.4079992000000006,1.37347999,1.44428919
1.4639992000000004,1.37348067,1.44428925
1.5199992000000002,1.37348128,1.44428934
1.5759992,1.37348182,1.44428948
1.6319991999999999,1.37348231,1.44428963
