VCTRL_V,ac_gain_28G_dB,ls_gain_dB,delta_dB,vid_pp_mV,vod_pp_mV,eye_height_mV,eye_width_UI,eye_width_ps,eye_pp_swing_mV
0.1500,-6.563,-6.122,0.442,100.00,49.42,48.23,0.5050,9.02,49.86
0.2800,0.289,1.731,1.442,100.00,122.06,116.72,0.5050,9.02,122.35
0.4200,2.062,3.766,1.704,100.00,154.27,145.90,0.5050,9.02,154.63
0.6500,3.239,5.048,1.809,100.00,178.81,167.44,0.5050,9.02,179.16
1.0000,4.506,6.326,1.820,100.00,207.15,192.72,0.7850,14.02,207.65
