k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,-0.06167313035701215,0.00031315735069741983,no
0,-196.93974999999986,1.0,yes
1,-3.0119302857142602,0.01529366359871109,yes
2,-0.0374188571428822,0.0001900015468836648,no
3,-0.024595285714425406,0.000124887361309362,no
4,-0.027291857142973188,0.00013857972879001423,no
5,-0.030008000000132058,0.0001523714740174702,no
6,-0.032282714285699794,0.00016392177955796032,no
7,-0.03409599999997237,0.00017312909151135,no
8,-0.035528999999926265,0.00018040542856343777,no
9,-0.03665071428564331,0.00018610115167528817,no
10,-0.03753085714286453,0.00019057024873274467,no
