k,h_mV,h_over_h0,kept
-3,-2.4560000033702067e-05,1.6622469312367445e-07,no
-2,-2.4560000033702067e-05,1.6622469312367445e-07,no
-1,0.020574343571282912,-0.00013924934615898029,no
0,-147.75181456000007,1.0,yes
1,-2.169383845714321,0.014682620664759165,yes
2,0.04365672571430121,-0.00029547336419731606,no
3,0.0242367257141694,-0.0001640367381364862,no
4,0.010900868571374537,-7.377823821546257e-05,no
5,0.002181297142778145,-1.4763251126722025e-05,no
6,-0.004097417142762954,2.7731755139284917e-05,no
7,-0.008745560000078536,5.91908805054105e-05,no
8,-0.012219274285626575,8.270134835240543e-05,no
9,-0.014828417142902823,0.00010036030479261016,no
10,-0.01680170285725297,0.00011371571244175834,no
