$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/no_pads/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/no_pads/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/no_pads/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:22 +0000: Memory Usage (133892K) : passiv_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134020K) : passiv_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134020K) : passiv_sbump has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134020K) : passiv_pillar has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134148K) : passiv_pdl has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134276K) : metal2_drw has 512 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134276K) : metal2_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134404K) : metal2_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134404K) : metal2 has 512 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134532K) : metal2_pin has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134532K) : metal2_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134660K) : metal2_nofill has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134660K) : metal2_text has 3 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134660K) : metal2_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134660K) : metal2_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134660K) : metal2_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134788K) : metal2_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134788K) : metal2_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134788K) : baspoly_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134788K) : baspoly_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134916K) : psd_drw has 502 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134916K) : nldb_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134916K) : digibnd_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (134916K) : via1_drw has 5760 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135044K) : backmetal1_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135044K) : backmetal1_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135044K) : backmetal1_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135044K) : backmetal1_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135172K) : backmetal1_nofill has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135172K) : backmetal1_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135172K) : backmetal1_text has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135172K) : backmetal1_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135300K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135300K) : backmetal1_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135300K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135300K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135428K) : backpassiv_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135428K) : res_drw has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135428K) : sram_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135556K) : trans_drw has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135556K) : ind_drw has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135556K) : ind_pin has 4 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135556K) : ind_text has 4 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135556K) : salblock_drw has 0 polygons
