$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:39 +0000: Memory Usage (133624K) : metal1_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133624K) : passiv_drw has 2 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133624K) : passiv_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133752K) : passiv_sbump has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133752K) : passiv_pillar has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133752K) : passiv_pdl has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133880K) : metal2_drw has 510 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133880K) : metal2_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (133880K) : metal2_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134008K) : metal2 has 510 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134008K) : metal2_pin has 10 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134136K) : metal2_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134136K) : metal2_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134136K) : metal2_text has 3 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134136K) : metal2_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134264K) : metal2_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134264K) : metal2_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134264K) : metal2_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134264K) : metal2_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134392K) : baspoly_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134392K) : baspoly_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134392K) : psd_drw has 514 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134392K) : nldb_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134520K) : digibnd_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134520K) : via1_drw has 6612 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134520K) : backmetal1_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134648K) : backmetal1_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134648K) : backmetal1_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134648K) : backmetal1_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134648K) : backmetal1_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134776K) : backmetal1_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134776K) : backmetal1_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134776K) : backmetal1_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134776K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134904K) : backmetal1_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134904K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134904K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (134904K) : backpassiv_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135032K) : res_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135032K) : sram_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135032K) : trans_drw has 2 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135032K) : ind_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135160K) : ind_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135160K) : ind_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135160K) : salblock_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135160K) : via2_drw has 12 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135288K) : metal3_drw has 13 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135288K) : metal3_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135288K) : metal3_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135288K) : metal3 has 13 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135416K) : metal3_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135416K) : metal3_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135416K) : metal3_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135416K) : metal3_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : metal3_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : metal3_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : metal3_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : metal3_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : metal3_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : nwell_drw has 10 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : nwell_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : nwell_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : nbulay_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : nbulay_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : nbulay_block has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135544K) : emwind_drw has 4 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135672K) : emwind_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135672K) : deepco_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135672K) : mim_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135672K) : edgeseal_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135672K) : substrate_drw has 500 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135672K) : substrate_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135800K) : dfpad_drw has 2 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135800K) : dfpad_pillar has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135800K) : dfpad_sbump has 0 polygons
