t_ui,vod_mV
0.015999999999999945,-61.92911999999984
0.07199999999999976,-61.33440000000001
0.12799999999999956,-60.78856999999993
0.18399999999999936,-60.28754000000003
0.2399999999999992,-59.82767
0.295999999999999,-59.40553999999998
0.3520000000000017,-59.01806000000009
0.4080000000000015,-58.66236999999997
0.4640000000000013,-58.335869999999844
0.5200000000000011,-58.03612999999985
0.576000000000001,-57.76097999999985
0.6320000000000007,-57.508380000000024
0.6880000000000005,-57.27650999999989
0.7440000000000003,-57.06361000000015
0.8000000000000002,-56.86818000000016
0.856,-56.688749999999956
0.9119999999999998,-56.52403000000006
0.9679999999999995,-56.37278000000001
1.0239999999999994,-56.2339300000001
1.0799999999999992,-56.10643999999998
1.135999999999999,-55.98939000000014
1.1920000000000017,-55.88191000000009
1.2480000000000016,-55.783230000000074
1.3040000000000014,-55.69260999999992
1.3600000000000012,-55.60940999999997
1.4160000000000008,-55.53300999999999
1.4720000000000006,-55.462860000000006
1.5280000000000005,-55.39842999999989
1.5840000000000003,-55.3392800000001
1.6400000000000001,-55.28494999999989
1.696,-55.235060000000004
1.7519999999999998,-55.18924000000003
1.8079999999999996,-55.14715000000003
1.8639999999999994,-55.10850000000001
1.9199999999999993,-55.07299999999993
1.975999999999999,-55.04039000000005
1.6000000010787207e-06,-55.027249999999974
0.005601599999999901,-55.08257999999988
0.01680160000000044,-55.17504999999989
0.03920160000000152,-54.86852000000009
0.08400160000000079,-50.017179999999996
0.1400016000000006,-34.01455999999992
0.19600160000000041,-7.748499999999936
0.2520016000000002,25.564609999999988
0.25760159999999904,29.239039999999996
0.2688015999999996,36.62031000000021
0.29120160000000067,51.13184999999998
0.3360015999999999,76.39679
0.39200159999999973,98.11535000000005
0.44800159999999956,108.9800700000001
0.5040015999999994,111.88863000000015
0.5600015999999991,110.30015000000004
0.6160015999999989,106.80842000000013
0.6720016000000016,102.79422999999998
0.7280016000000015,98.77819999999993
0.7840016000000013,94.89612999999997
0.8400016000000011,91.18585999999995
0.8960016000000008,87.68057000000007
0.9520016000000007,84.40910999999996
0.9999992000000002,81.8012400000001
1.005599199999999,81.56838999999994
1.0167991999999995,81.08960000000009
1.0391992000000005,79.6713
1.0839991999999998,72.71631000000012
1.1399991999999997,54.28487999999998
1.1959991999999995,25.77783
1.2519991999999993,-9.615629999999875
1.2575992000000011,-13.489070000000103
1.2687992000000017,-21.26530999999998
1.2911991999999997,-36.547639999999994
1.335999199999999,-63.27599999999989
1.3919992000000017,-86.67920000000007
1.4479992000000015,-99.07651999999989
1.5039992000000013,-103.38278000000001
1.5599992000000011,-103.0748399999999
1.615999200000001,-100.75973000000005
1.6719992000000008,-97.8276199999999
1.7279992000000006,-94.80632999999995
1.7839992000000005,-91.83843999999985
1.8399992000000003,-88.96823000000009
1.8959992,-86.23472999999993
1.9519991999999997,-83.67189999999991
0.007999199999999615,-81.29689000000018
0.06399919999999942,-79.10940000000011
0.11999919999999922,-77.09926
0.17599919999999902,-75.25304999999993
0.23199920000000174,-73.55787999999986
0.28799920000000157,-72.0018
0.34399920000000134,-70.57395
0.39999920000000116,-69.26394000000013
0.455999200000001,-68.06219999999996
0.5119992000000008,-66.95969999999996
0.5679992000000006,-65.94824
0.6239992000000004,-65.02021999999985
0.6799992000000002,-64.16876999999998
0.7359992,-63.38748999999999
0.7919991999999998,-62.67060999999985
0.8479991999999996,-62.01276
0.9039991999999994,-61.40910000000011
0.9599991999999993,-60.855090000000004
1.015999199999999,-60.34669999999998
1.0719992000000018,-59.88007999999989
1.1279992000000016,-59.451869999999964
1.1839992000000013,-59.058819999999955
1.239999200000001,-58.698099999999975
1.295999200000001,-58.366990000000115
1.3519992000000007,-58.063090000000095
1.4079992000000006,-57.784119999999994
1.4639992000000004,-57.52807999999998
1.5199992000000002,-57.29303000000008
1.5759992,-57.077289999999834
1.6319991999999999,-56.87923000000006
1.6879991999999997,-56.697439999999986
1.7439991999999995,-56.530540000000016
1.7999991999999991,-56.377329999999894
1.855999199999999,-56.236680000000035
1.9119992000000017,-56.107569999999996
1.9679992000000015,-55.98901999999995
0.02399920000000137,-55.880209999999984
0.07999920000000117,-55.78030000000012
0.13599920000000099,-55.68858999999993
0.19199920000000079,-55.60436999999996
0.24799920000000059,-55.52705999999996
0.3039992000000004,-55.45607999999991
0.3599992000000002,-55.39091000000007
0.4159992,-55.33107000000004
0.47199919999999984,-55.27612000000004
0.5279991999999997,-55.22567000000001
0.5839991999999995,-55.17934999999996
0.6399991999999992,-55.13681000000004
0.695999199999999,-55.097759999999994
0.7519992000000018,-55.06188999999995
0.8079992000000016,-55.02896999999996
0.8639992000000014,-54.99872999999988
0.9199992000000012,-54.970960000000126
0.975999200000001,-54.94545999999989
1.031999200000001,-54.922039999999896
1.0879992000000005,-54.90053000000006
1.1439992000000003,-54.88077999999996
1.1999992000000002,-54.86263999999985
1.2559992,-54.84597999999985
1.3119991999999998,-54.83067000000008
1.3679991999999996,-54.81660999999982
1.4239991999999995,-54.80370000000012
1.4799991999999993,-54.791839999999816
1.5359991999999991,-54.78095000000005
1.5919992000000018,-54.770940000000046
1.6479992000000017,-54.761729999999844
1.7039992000000015,-54.753280000000125
1.759999200000001,-54.74551999999999
1.815999200000001,-54.738379999999864
1.8719992000000008,-54.731830000000144
1.9279992000000006,-54.725800000000156
1.9839992000000004,-54.720260000000074
1.9999983999999993,-54.71877000000003
0.005598400000001001,-54.77656000000009
0.016798400000001542,-54.87394000000001
0.03919839999999973,-54.57692000000014
0.08399839999999899,-49.74351999999982
0.1399984000000017,-33.76151999999988
0.19599840000000152,-7.51445999999989
0.2519984000000013,25.780909999999935
0.2575984000000001,29.453629999999897
0.26879840000000066,36.831520000000005
0.29119840000000174,51.3364300000001
0.33599840000000103,76.58882999999994
0.39199840000000086,98.29299000000003
0.44799840000000063,109.14458999999988
0.5039984000000004,112.04111000000006
0.5599984000000002,110.44155999999994
0.6159984000000001,106.93959000000008
0.6719983999999999,102.91592999999999
0.7279983999999997,98.89114999999981
0.7839983999999994,95.00103999999988
0.8399983999999993,91.28336000000003
0.8959983999999991,87.77127999999989
0.9519984000000018,84.49358000000018
1.0079984000000015,81.46246999999995
1.0639984000000013,78.6729100000001
1.1199984000000012,76.11026999999982
1.175998400000001,73.75697999999997
1.2319984000000008,71.59640999999995
1.2879984000000007,69.61313000000003
1.3439984000000005,67.79315999999992
1.3999984000000003,66.12324000000002
1.4559984000000001,64.59117999999987
1.5119984,63.18549999999989
1.5679983999999998,61.89579999999984
1.6239983999999994,60.71241000000005
1.6799983999999992,59.62661999999996
1.735998399999999,58.630270000000095
1.7919984000000018,57.716059999999956
1.8479984000000016,56.877120000000005
1.9039984000000014,56.10729000000014
1.9599984000000013,55.40082999999996
0.015998400000001037,54.7525499999999
0.07199840000000085,54.15759999999992
0.12799840000000065,53.61163999999996
0.18399840000000045,53.11058000000002
0.23999840000000028,52.65076000000013
0.29599840000000005,52.22874999999982
0.3519983999999999,51.84148
0.4079983999999997,51.486049999999835
0.4639983999999995,51.15986000000006
0.5199983999999993,50.860490000000034
0.5759983999999991,50.58575999999992
0.631998399999999,50.33361000000003
0.6879983999999987,50.10221999999986
0.7439983999999985,49.88985000000001
0.7999983999999983,49.694959999999845
0.8559983999999982,49.51607999999985
0.911998399999998,49.351950000000144
0.9679983999999978,49.201289999999844
1.000002400000003,49.120880000000035
1.005602399999999,49.165560000000056
1.0168024000000024,49.23685
1.0392023999999978,48.888279999999895
1.0840024,43.954409999999996
1.1400023999999997,27.856419999999993
1.1960023999999996,1.5107700000001056
1.2520023999999994,-31.861190000000093
1.257602400000001,-35.54020000000002
1.2688023999999987,-42.93029999999987
1.2912023999999998,-57.45837999999992
1.336002400000002,-82.75731000000009
1.3920024000000017,-104.52525000000001
1.4480024000000016,-115.44613999999997
1.5040024000000014,-118.41237999999987
1.5600024000000012,-116.87860999999988
1.6160024000000008,-113.43603000000013
1.6720024000000007,-109.46440000000001
1.7280024000000005,-105.48530000000001
1.7840024000000003,-101.63662000000006
1.8400024000000001,-97.95767999999994
1.8960024,-94.48201000000012
1.9520023999999998,-91.23819999999982
2.1713491079516976e-15,-88.65239999999997
0.005599999999998099,-88.42206000000007
0.016800000000001536,-87.94835999999995
