freq_Hz,S21_mag_model,S21_mag_em,S21_ang_deg_model,S21_ang_deg_em,S11_mag_model,S11_mag_em
2.500000e+08,0.99448606,0.99279011,-0.130392,-0.133863,0.00559731,0.01107848
4.993750e+08,0.99448354,0.99278155,-0.260457,-0.267378,0.00584183,0.01121317
7.487500e+08,0.99447936,0.99276734,-0.390519,-0.400869,0.00622780,0.01143391
9.981250e+08,0.99447350,0.99274746,-0.520577,-0.534322,0.00673089,0.01173565
1.247500e+09,0.99446598,0.99272191,-0.650630,-0.667726,0.00732698,0.01211213
1.496875e+09,0.99445680,0.99269098,-0.780678,-0.801069,0.00799525,0.01255637
1.746250e+09,0.99444596,0.99265446,-0.910717,-0.934339,0.00871906,0.01306114
1.995625e+09,0.99443346,0.99261253,-1.040748,-1.067525,0.00948565,0.01361936
2.245000e+09,0.99441932,0.99256537,-1.170769,-1.200616,0.01028539,0.01422437
2.494375e+09,0.99440354,0.99251298,-1.300780,-1.333601,0.01111107,0.01487004
2.743750e+09,0.99438613,0.99245551,-1.430778,-1.466470,0.01195725,0.01555090
2.993125e+09,0.99436710,0.99239297,-1.560762,-1.599214,0.01281980,0.01626209
3.242500e+09,0.99434645,0.99232570,-1.690733,-1.731822,0.01369557,0.01699935
3.491875e+09,0.99432420,0.99225361,-1.820687,-1.864287,0.01458210,0.01775898
3.741250e+09,0.99430036,0.99217706,-1.950626,-1.996600,0.01547747,0.01853777
3.990625e+09,0.99427493,0.99209602,-2.080546,-2.128753,0.01638017,0.01933296
4.240000e+09,0.99424794,0.99201067,-2.210449,-2.260740,0.01728898,0.02014213
4.489375e+09,0.99421939,0.99192126,-2.340331,-2.392554,0.01820291,0.02096322
4.738750e+09,0.99418929,0.99182789,-2.470193,-2.524189,0.01912116,0.02179445
4.988125e+09,0.99415767,0.99173071,-2.600034,-2.655640,0.02004308,0.02263425
5.237500e+09,0.99412453,0.99162990,-2.729852,-2.786902,0.02096811,0.02348128
5.486875e+09,0.99408989,0.99152562,-2.859648,-2.917972,0.02189578,0.02433438
5.736250e+09,0.99405376,0.99141814,-2.989419,-3.048846,0.02282572,0.02519252
5.985625e+09,0.99401617,0.99130744,-3.119166,-3.179520,0.02375759,0.02605482
6.235000e+09,0.99397712,0.99119388,-3.248888,-3.309993,0.02469111,0.02692050
6.484375e+09,0.99393663,0.99107753,-3.378584,-3.440263,0.02562603,0.02778887
6.733750e+09,0.99389472,0.99095866,-3.508253,-3.570329,0.02656215,0.02865938
6.983125e+09,0.99385140,0.99083726,-3.637895,-3.700189,0.02749929,0.02953147
7.232500e+09,0.99380669,0.99071358,-3.767509,-3.829845,0.02843728,0.03040470
7.481875e+09,0.99376062,0.99058788,-3.897095,-3.959296,0.02937599,0.03127868
7.731250e+09,0.99371319,0.99046017,-4.026652,-4.088543,0.03031530,0.03215306
7.980625e+09,0.99366443,0.99033069,-4.156180,-4.217587,0.03125509,0.03302753
8.230000e+09,0.99361435,0.99019953,-4.285678,-4.346431,0.03219527,0.03390185
8.479375e+09,0.99356296,0.99006687,-4.415146,-4.475076,0.03313576,0.03477576
8.728750e+09,0.99351030,0.98993287,-4.544584,-4.603524,0.03407647,0.03564908
8.978125e+09,0.99345637,0.98979762,-4.673992,-4.731778,0.03501735,0.03652164
9.227500e+09,0.99340119,0.98966130,-4.803369,-4.859841,0.03595833,0.03739329
9.476875e+09,0.99334478,0.98952398,-4.932715,-4.987717,0.03689936,0.03826392
9.726250e+09,0.99328717,0.98938576,-5.062029,-5.115410,0.03784039,0.03913340
9.975625e+09,0.99322836,0.98924688,-5.191313,-5.242923,0.03878138,0.04000165
1.022500e+10,0.99316837,0.98910737,-5.320565,-5.370259,0.03972228,0.04086862
1.047438e+10,0.99310722,0.98896729,-5.449786,-5.497424,0.04066307,0.04173424
1.072375e+10,0.99304493,0.98882682,-5.578975,-5.624422,0.04160372,0.04259845
1.097312e+10,0.99298152,0.98868597,-5.708133,-5.751257,0.04254419,0.04346124
1.122250e+10,0.99291699,0.98854489,-5.837259,-5.877934,0.04348446,0.04432257
1.147188e+10,0.99285138,0.98840370,-5.966354,-6.004460,0.04442451,0.04518245
1.172125e+10,0.99278469,0.98826238,-6.095418,-6.130832,0.04536432,0.04604084
1.197062e+10,0.99271694,0.98812102,-6.224451,-6.257066,0.04630388,0.04689776
1.222000e+10,0.99264815,0.98797970,-6.353453,-6.383158,0.04724316,0.04775322
1.246938e+10,0.99257833,0.98783851,-6.482424,-6.509117,0.04818216,0.04860722
1.271875e+10,0.99250749,0.98769747,-6.611365,-6.634950,0.04912086,0.04945978
1.296812e+10,0.99243566,0.98755664,-6.740276,-6.760653,0.05005926,0.05031094
1.321750e+10,0.99236284,0.98741613,-6.869156,-6.886245,0.05099734,0.05116070
