model,W_um,L_um,TEMP_C,R_ohm
rhigh,1.0,1.0,27.0,1578.0951970146646
rhigh,1.0,1.0,125.0,1254.2225492491386
rhigh,1.0,2.0,-40.0,3484.199156823804
rhigh,1.0,2.0,27.0,2994.514050259924
rhigh,1.0,2.0,125.0,2379.947514224153
rhigh,1.0,5.0,-40.0,8428.623605765179
rhigh,1.0,5.0,27.0,7244.0321248677965
rhigh,1.0,5.0,125.0,5757.317550606822
rhigh,2.0,0.96,-40.0,868.9506551887939
rhigh,2.0,0.96,27.0,746.8259895444362
rhigh,2.0,0.96,125.0,593.5516548220136
rhigh,2.0,1.0,-40.0,901.2419113538456
rhigh,2.0,1.0,27.0,774.5773389653712
rhigh,2.0,1.0,125.0,615.6068652477612
rhigh,2.0,2.0,-40.0,1708.4457585556117
rhigh,2.0,2.0,27.0,1468.328161555253
rhigh,2.0,2.0,125.0,1166.9882367585735
rhigh,2.0,5.0,-40.0,4130.206124820335
rhigh,2.0,5.0,27.0,3549.7329417583483
rhigh,2.0,5.0,125.0,2821.2140248191604
rhigh,5.0,0.96,-40.0,343.8253550569833
rhigh,5.0,0.96,27.0,295.5024526703572
rhigh,5.0,0.96,125.0,234.85608801779895
rhigh,5.0,1.0,-40.0,356.5850562334634
rhigh,5.0,1.0,27.0,306.46894652321197
rhigh,5.0,1.0,125.0,243.571735935762
rhigh,5.0,2.0,-40.0,675.5600392725569
rhigh,5.0,2.0,27.0,580.6144449132369
rhigh,5.0,2.0,125.0,461.4546897640121
rhigh,5.0,5.0,-40.0,1632.5482227535863
rhigh,5.0,5.0,27.0,1403.1017903578845
rhigh,5.0,5.0,125.0,1115.1421434518854
