freq_Hz,S21_mag_model,S21_mag_em,S21_ang_deg_model,S21_ang_deg_em,S11_mag_model,S11_mag_em
2.500000e+08,0.99268612,0.99083147,-0.173756,-0.177820,0.00742937,0.00907247
4.993750e+08,0.99268207,0.99082020,-0.347076,-0.355180,0.00776828,0.00937815
7.487500e+08,0.99267532,0.99080141,-0.520392,-0.532509,0.00830206,0.00986603
9.981250e+08,0.99266588,0.99077507,-0.693704,-0.709791,0.00899606,0.01051045
1.247500e+09,0.99265376,0.99074149,-0.867008,-0.887012,0.00981629,0.01128419
1.496875e+09,0.99263895,0.99070044,-1.040305,-1.064157,0.01073379,0.01216208
1.746250e+09,0.99262146,0.99065220,-1.213592,-1.241211,0.01172568,0.01312265
1.995625e+09,0.99260130,0.99059684,-1.386867,-1.418159,0.01277456,0.01414846
2.245000e+09,0.99257848,0.99053435,-1.560130,-1.594989,0.01386744,0.01522567
2.494375e+09,0.99255301,0.99046498,-1.733378,-1.771687,0.01499460,0.01634343
2.743750e+09,0.99252490,0.99038889,-1.906610,-1.948240,0.01614879,0.01749328
2.993125e+09,0.99249416,0.99030607,-2.079824,-2.124637,0.01732451,0.01866857
3.242500e+09,0.99246080,0.99021676,-2.253019,-2.300864,0.01851758,0.01986407
3.491875e+09,0.99242484,0.99012121,-2.426194,-2.476912,0.01972475,0.02107563
3.741250e+09,0.99238629,0.99001940,-2.599347,-2.652771,0.02094350,0.02229993
3.990625e+09,0.99234516,0.98991175,-2.772477,-2.828431,0.02217182,0.02353428
4.240000e+09,0.99230148,0.98979825,-2.945582,-3.003882,0.02340812,0.02477647
4.489375e+09,0.99225525,0.98967912,-3.118662,-3.179118,0.02465111,0.02602471
4.738750e+09,0.99220650,0.98955463,-3.291715,-3.354131,0.02589974,0.02727750
4.988125e+09,0.99215525,0.98942491,-3.464739,-3.528914,0.02715313,0.02853361
5.237500e+09,0.99210151,0.98929031,-3.637734,-3.703461,0.02841057,0.02979197
5.486875e+09,0.99204530,0.98915080,-3.810699,-3.877768,0.02967146,0.03105171
5.736250e+09,0.99198665,0.98900680,-3.983632,-4.051829,0.03093528,0.03231208
5.985625e+09,0.99192557,0.98885846,-4.156533,-4.225643,0.03220162,0.03357244
6.235000e+09,0.99186209,0.98870595,-4.329401,-4.399205,0.03347009,0.03483224
6.484375e+09,0.99179622,0.98854949,-4.502234,-4.572513,0.03474039,0.03609102
6.733750e+09,0.99172799,0.98838934,-4.675032,-4.745567,0.03601224,0.03734839
6.983125e+09,0.99165743,0.98822557,-4.847795,-4.918365,0.03728540,0.03860400
7.232500e+09,0.99158455,0.98805858,-5.020520,-5.090907,0.03855967,0.03985757
7.481875e+09,0.99150938,0.98788837,-5.193209,-5.263194,0.03983487,0.04110884
7.731250e+09,0.99143194,0.98771526,-5.365860,-5.435226,0.04111083,0.04235760
7.980625e+09,0.99135226,0.98753942,-5.538472,-5.607006,0.04238742,0.04360369
8.230000e+09,0.99127035,0.98736100,-5.711046,-5.778535,0.04366451,0.04484696
8.479375e+09,0.99118625,0.98718016,-5.883580,-5.949815,0.04494198,0.04608728
8.728750e+09,0.99109997,0.98699715,-6.056074,-6.120851,0.04621976,0.04732457
8.978125e+09,0.99101155,0.98681213,-6.228529,-6.291647,0.04749773,0.04855874
9.227500e+09,0.99092100,0.98662518,-6.400943,-6.462203,0.04877584,0.04978974
9.476875e+09,0.99082834,0.98643654,-6.573316,-6.632527,0.05005400,0.05101753
9.726250e+09,0.99073361,0.98624629,-6.745648,-6.802623,0.05133216,0.05224209
9.975625e+09,0.99063683,0.98605458,-6.917940,-6.972490,0.05261025,0.05346338
1.022500e+10,0.99053801,0.98586168,-7.090190,-7.142142,0.05388824,0.05468143
1.047438e+10,0.99043719,0.98566750,-7.262399,-7.311583,0.05516608,0.05589623
1.072375e+10,0.99033438,0.98547234,-7.434567,-7.480812,0.05644372,0.05710782
1.097312e+10,0.99022961,0.98527615,-7.606694,-7.649842,0.05772113,0.05831621
1.122250e+10,0.99012291,0.98507924,-7.778780,-7.818674,0.05899829,0.05952144
1.147188e+10,0.99001428,0.98488153,-7.950825,-7.987314,0.06027515,0.06072356
1.172125e+10,0.98990376,0.98468327,-8.122830,-8.155774,0.06155171,0.06192258
1.197062e+10,0.98979137,0.98448436,-8.294794,-8.324050,0.06282793,0.06311860
1.222000e+10,0.98967713,0.98428506,-8.466717,-8.492158,0.06410380,0.06431166
1.246938e+10,0.98956105,0.98408538,-8.638601,-8.660101,0.06537930,0.06550180
1.271875e+10,0.98944317,0.98388547,-8.810445,-8.827883,0.06665442,0.06668911
1.296812e+10,0.98932349,0.98368527,-8.982250,-8.995518,0.06792915,0.06787364
1.321750e+10,0.98920204,0.98348481,-9.154015,-9.163003,0.06920347,0.06905546
1.346688e+10,0.98907884,0.98328429,-9.325743,-9.330346,0.07047739,0.07023464
1.371625e+10,0.98895391,0.98308373,-9.497432,-9.497560,0.07175088,0.07141126
1.396562e+10,0.98882726,0.98288309,-9.669084,-9.664643,0.07302395,0.07258537
1.421500e+10,0.98869891,0.98268257,-9.840698,-9.831609,0.07429659,0.07375707
1.446438e+10,0.98856889,0.98248198,-10.012276,-9.998458,0.07556881,0.07492641
1.471375e+10,0.98843720,0.98228156,-10.183818,-10.165193,0.07684060,0.07609348
1.496312e+10,0.98830386,0.98208118,-10.355325,-10.331833,0.07811195,0.07725834
1.521250e+10,0.98816889,0.98188096,-10.526796,-10.498369,0.07938288,0.07842108
1.546188e+10,0.98803231,0.98168094,-10.698234,-10.664815,0.08065338,0.07958176
1.571125e+10,0.98789412,0.98148103,-10.869638,-10.831177,0.08192347,0.08074044
1.596062e+10,0.98775435,0.98128130,-11.041009,-10.997460,0.08319313,0.08189721
1.621000e+10,0.98761300,0.98108184,-11.212347,-11.163669,0.08446238,0.08305213
1.645938e+10,0.98747009,0.98088256,-11.383654,-11.329803,0.08573121,0.08420527
1.670875e+10,0.98732563,0.98068347,-11.554930,-11.495876,0.08699965,0.08535670
1.695812e+10,0.98717963,0.98048464,-11.726176,-11.661887,0.08826769,0.08650648
1.720750e+10,0.98703211,0.98028593,-11.897393,-11.827848,0.08953534,0.08765468
1.745688e+10,0.98688308,0.98008754,-12.068580,-11.993753,0.09080261,0.08880136
1.770625e+10,0.98673254,0.97988928,-12.239739,-12.159616,0.09206951,0.08994658
1.795562e+10,0.98658052,0.97969127,-12.410871,-12.325438,0.09333605,0.09109040
1.820500e+10,0.98642700,0.97949346,-12.581977,-12.491226,0.09460222,0.09223287
1.845438e+10,0.98627202,0.97929583,-12.753056,-12.656982,0.09586805,0.09337407
1.870375e+10,0.98611556,0.97909830,-12.924111,-12.822708,0.09713355,0.09451404
1.895312e+10,0.98595765,0.97890101,-13.095141,-12.988408,0.09839872,0.09565282
1.920250e+10,0.98579829,0.97870383,-13.266147,-13.154088,0.09966357,0.09679048
1.945188e+10,0.98563749,0.97850675,-13.437131,-13.319752,0.10092811,0.09792707
1.970125e+10,0.98547526,0.97830985,-13.608093,-13.485407,0.10219236,0.09906263
1.995062e+10,0.98531159,0.97811303,-13.779033,-13.651047,0.10345633,0.10019720
2.020000e+10,0.98514650,0.97791633,-13.949952,-13.816684,0.10472002,0.10133083
2.044938e+10,0.98497999,0.97771962,-14.120852,-13.982317,0.10598344,0.10246357
2.069875e+10,0.98481207,0.97752300,-14.291733,-14.147951,0.10724662,0.10359545
2.094812e+10,0.98464274,0.97732640,-14.462595,-14.313592,0.10850955,0.10472656
2.119750e+10,0.98447201,0.97712980,-14.633439,-14.479237,0.10977225,0.10585688
2.144688e+10,0.98429988,0.97693319,-14.804267,-14.644889,0.11103473,0.10698638
