freq_Hz,S11_dB,Zdiff_ohm
1000000.0,-56.177555374254766,100.3110478
1007704.81,-56.17761113693823,100.31104579999997
1015468.99,-56.177666899980004,100.31104379999998
1023292.99,-56.17772545156021,100.31104169999999
1031177.27,-56.17778400353633,100.3110396
1039122.3,-56.1778453441271,100.31103739999999
1047128.55,-56.177901108677176,100.3110354
1055196.48,-56.17796245009793,100.31103319999997
1063326.57,-56.17802658022873,100.31103089999998
1071519.31,-56.1780907108341,100.3110286
1079775.16,-56.17815205359725,100.3110264
1088094.63,-56.17821897347133,100.31102399999999
1096478.2,-56.17828589386181,100.3110216
1104926.36,-56.17835281477028,100.31101919999999
1113439.61,-56.17841973619555,100.31101679999999
1122018.45,-56.17848944656337,100.3110143
1130663.4,-56.1785591574924,100.3110118
1139374.95,-56.17863165745498,100.31100919999997
1148153.62,-56.1787041580234,100.31100659999998
1156999.93,-56.178776659199265,100.31100399999998
1165914.4,-56.17885194952425,100.31100129999999
1174897.55,-56.178927240504294,100.31099859999998
1183949.92,-56.179005320730475,100.31099579999997
1193072.04,-56.17908340166073,100.31099299999997
1202264.43,-56.17916148329428,100.31099019999999
1211527.66,-56.17924235430092,100.31098729999998
1220862.25,-56.17932322606286,100.31098439999997
1230268.77,-56.179406887300125,100.31098139999999
1239747.76,-56.17949054934651,100.31097839999998
1249299.79,-56.1795770009772,100.31097529999997
1258925.41,-56.179663453470646,100.31097219999997
1268625.2,-56.179752695659026,100.31096899999999
1278399.72,-56.17984193876717,100.3109658
1288249.55,-56.17993118279629,100.31096259999998
1298175.28,-56.18002600558469,100.31095919999997
1308177.47,-56.18012082941031,100.3109558
1318256.74,-56.180215654275536,100.31095239999999
1328413.66,-56.1803104801792,100.31094899999998
1338648.84,-56.1804080961646,100.31094549999997
1348962.88,-56.18050850232607,100.31094189999997
1359356.39,-56.18060890965182,100.31093829999998
1369829.98,-56.18071210728267,100.3109346
1380384.26,-56.18081530614464,100.31093089999997
1391019.87,-56.18092129544433,100.31092709999999
1401737.42,-56.181030075285385,100.31092319999999
1412537.54,-56.181136067214375,100.31091939999999
1423420.88,-56.18124763906767,100.31091539999998
1434388.08,-56.181359212359,100.31091139999997
1445439.77,-56.181476365861435,100.31090719999997
1456576.62,-56.18159073152344,100.31090309999999
1467799.27,-56.18170788815873,100.31089889999998
1479108.39,-56.181827835879766,100.31089459999998
1490504.64,-56.181947785262,100.3108903
1501988.7,-56.182070525885834,100.31088589999997
1513561.25,-56.18219605786835,100.31088139999997
1525222.96,-56.182324381330545,100.3108768
1536974.52,-56.18245270669607,100.31087219999998
1548816.62,-56.18258103396299,100.31086759999997
1560749.96,-56.18271494270325,100.31086279999998
1572775.25,-56.1828488535148,100.31085799999998
1584893.19,-56.18298555627129,100.31085309999997
1597104.5,-56.18312505110411,100.31084809999999
1609409.89,-56.183264548185015,100.31084309999997
1621810.1,-56.183406837522185,100.31083799999998
1634305.84,-56.18355191925364,100.31083279999999
1646897.87,-56.18369979352008,100.31082749999999
1659586.91,-56.18385046046456,100.31082209999998
1672373.72,-56.1840011300307,100.31081669999998
1685259.04,-56.184154592468865,100.31081119999997
1698243.65,-56.18431084792748,100.31080559999998
1711328.3,-56.18446989655812,100.31079989999998
1724513.77,-56.18463173851424,100.31079409999998
1737800.83,-56.184793583495356,100.31078829999998
1751190.26,-56.18496101252133,100.31078229999999
1764682.86,-56.18512844478553,100.31077629999996
1778279.41,-56.18529867090587,100.31077019999995
1791980.72,-56.18547448172187,100.3107639
1805787.6,-56.18565029610877,100.3107576
1819700.86,-56.18582890485615,100.31075119999998
1833721.32,-56.18601030813608,100.31074469999997
1847849.8,-56.18619450612371,100.31073809999998
1862087.14,-56.186381498998514,100.31073139999997
1876434.17,-56.18657128694028,100.31072459999997
1890891.75,-56.1867638701331,100.31071769999998
1905460.72,-56.186959248764204,100.31071069999997
1920141.94,-56.18715742302231,100.31070359999995
1934936.28,-56.187358393098094,100.31069639999997
1949844.6,-56.1875621591873,100.31068909999998
1964867.79,-56.18777151290362,100.31068159999997
1980006.73,-56.18798087168134,100.31067409999997
1995262.31,-56.1881958186262,100.31066639999997
2010635.44,-56.18841077090693,100.31065869999998
2026127.01,-56.1886341036042,100.31065069999997
2041737.94,-56.18885744206142,100.31064269999997
2057469.16,-56.189083578119096,100.31063459999996
2073321.57,-56.18931251199506,100.31062639999996
2089296.13,-56.18954703590073,100.31061799999995
2105393.77,-56.18978435822309,100.31060949999996
2121615.44,-56.19002447919286,100.31060089999995
2137962.09,-56.19027019126432,100.31059209999995
2154434.69,-56.19051591030764,100.31058329999998
2171034.21,-56.19076722108811,100.31057429999997
2187761.62,-56.19102412409121,100.31056509999998
2204617.92,-56.19128103471618,100.3105559
2221604.09,-56.19154353822948,100.31054649999996
2238721.14,-56.191811635136766,100.31053689999996
2255970.07,-56.192082533151144,100.31052719999997
2273351.9,-56.19235902543093,100.31051729999997
2290867.65,-56.19263552654053,100.31050739999995
2308518.36,-56.19291762262893,100.31049729999997
2326305.07,-56.19320531424428,100.31048699999997
2344228.82,-56.19349860194401,100.31047649999995
2362290.66,-56.19379469293556,100.31046589999997
2380491.67,-56.19409079405297,100.31045529999996
2398832.92,-56.19439807950328,100.31044429999996
2417315.48,-56.194705375858724,100.31043329999996
2435940.45,-56.19501827062586,100.31042209999995
2454708.92,-56.1953367644108,100.31041069999996
2473621.99,-56.19566085783177,100.31039909999996
2492680.79,-56.19598496338351,100.31038749999995
2511886.43,-56.196320257754486,100.31037549999996
2531240.05,-56.19665556511002,100.31036349999995
2550742.78,-56.196996474232755,100.31035129999994
2570395.78,-56.197342985782626,100.31033889999996
2590200.2,-56.19769510043369,100.31032629999996
2610157.22,-56.198052818867765,100.31031349999996
2630267.99,-56.19841614177957,100.31030049999995
2650533.72,-56.198785069873566,100.31028729999994
2670955.59,-56.19915401368648,100.31027409999994
2691534.8,-56.199534154056714,100.31026049999997
2712272.58,-56.19991990178743,100.31024669999994
2733170.14,-56.200305666701865,100.31023289999996
2754228.7,-56.20070263114988,100.31021869999996
2775449.52,-56.20110520523249,100.31020429999995
2796833.85,-56.2015105938806,100.31018979999996
2818382.93,-56.20192159347114,100.31017509999995
2840098.05,-56.202341000918985,100.31016009999993
2861980.48,-56.20276602118843,100.31014489999995
2884031.5,-56.20319665510743,100.31012949999993
2906252.43,-56.203632903510126,100.31011389999995
2928644.56,-56.20407476724563,100.31009809999995
2951209.23,-56.20452504399461,100.31008199999994
2973947.75,-56.20498093809733,100.31006569999994
2996861.46,-56.20544245043985,100.31004919999995
3019951.72,-56.205912379191474,100.31003239999991
3043219.89,-56.20638792829287,100.31001539999994
3066667.33,-56.20686909867186,100.30999819999992
3090295.43,-56.20735868899922,100.30998069999995
3114105.58,-56.207853902805724,100.30996299999994
3138099.19,-56.20835753911328,100.30994499999994
3162277.66,-56.20886959939035,100.30992669999995
3186642.42,-56.2093844883436,100.30990829999992
3211194.91,-56.2099106021568,100.30988949999997
3235936.57,-56.21044234540786,100.30987049999993
