$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_no_channel/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_no_channel/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_no_channel/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 18:57:21 +0000: Memory Usage (130060K) : Selected PARALLEL_RES option: true
2026-08-20 18:57:21 +0000: Memory Usage (130060K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 18:57:21 +0000: Memory Usage (130060K) : deep  mode is enabled.
2026-08-20 18:57:21 +0000: Memory Usage (130060K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 18:57:21 +0000: Memory Usage (131316K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_no_channel/driver_dut.cdl
2026-08-20 18:57:21 +0000: Memory Usage (131316K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_no_channel/lvs/driver_dut_extracted.cir
2026-08-20 18:57:21 +0000: Memory Usage (131316K) : Applying SRAM integration support.
2026-08-20 18:57:21 +0000: Memory Usage (131316K) : Starting SG13G2 LVS runset
2026-08-20 18:57:21 +0000: Memory Usage (131316K) : Read in polygons from layers.
2026-08-20 18:57:21 +0000: Memory Usage (132596K) : activ_drw has 893 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132596K) : activ_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ has 893 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ_mask has 4 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ_iOPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132852K) : activ_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (132944K) : biwind_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : biwind_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_drw has 123 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly has 123 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_pin has 119 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_iOPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : gatpoly_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : cont_drw has 13150 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : cont_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : nsd_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : nsd_block has 4 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : metal1_drw has 1515 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : metal1_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133456K) : metal1_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133584K) : metal1 has 1515 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133584K) : metal1_pin has 746 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133584K) : metal1_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133584K) : metal1_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133840K) : metal1_text has 3 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133840K) : metal1_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133840K) : metal1_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133968K) : metal1_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (133968K) : metal1_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134096K) : metal1_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134096K) : passiv_drw has 2 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134096K) : passiv_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134224K) : passiv_sbump has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134224K) : passiv_pillar has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134224K) : passiv_pdl has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134352K) : metal2_drw has 510 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134352K) : metal2_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134352K) : metal2_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134480K) : metal2 has 510 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134480K) : metal2_pin has 10 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134608K) : metal2_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134608K) : metal2_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134608K) : metal2_text has 3 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134736K) : metal2_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134736K) : metal2_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134736K) : metal2_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134736K) : metal2_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134864K) : metal2_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134864K) : baspoly_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134864K) : baspoly_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134864K) : psd_drw has 514 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134992K) : nldb_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134992K) : digibnd_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134992K) : via1_drw has 6612 polygons
2026-08-20 18:57:21 +0000: Memory Usage (134992K) : backmetal1_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135120K) : backmetal1_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135120K) : backmetal1_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135120K) : backmetal1_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135248K) : backmetal1_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135248K) : backmetal1_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135248K) : backmetal1_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135248K) : backmetal1_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135248K) : backmetal1_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135376K) : backmetal1_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135376K) : backmetal1_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135376K) : backmetal1_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135376K) : backpassiv_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135504K) : res_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135504K) : sram_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135504K) : trans_drw has 2 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135504K) : ind_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135632K) : ind_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135632K) : ind_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135632K) : salblock_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135632K) : via2_drw has 12 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135760K) : metal3_drw has 13 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135760K) : metal3_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135760K) : metal3_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135888K) : metal3 has 13 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135888K) : metal3_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135888K) : metal3_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (135888K) : metal3_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136016K) : metal3_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136016K) : metal3_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136016K) : metal3_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : metal3_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : metal3_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : metal3_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : nwell_drw has 10 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : nwell_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : nwell_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : nbulay_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : nbulay_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : nbulay_block has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : emwind_drw has 4 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : emwind_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : deepco_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : mim_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : edgeseal_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : substrate_drw has 500 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : substrate_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136144K) : dfpad_drw has 2 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136272K) : dfpad_pillar has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136272K) : dfpad_sbump has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136272K) : thickgateox_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136272K) : pldb_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136272K) : pwell_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136400K) : pwell_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136400K) : pwell_block has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136400K) : ic_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136400K) : via3_drw has 997 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136400K) : metal4_drw has 15 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136400K) : metal4_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136528K) : metal4_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136528K) : metal4 has 15 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136528K) : metal4_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136528K) : metal4_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136528K) : metal4_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136656K) : metal4_text has 3 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136656K) : metal4_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136656K) : metal4_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136656K) : metal4_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136656K) : metal4_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136656K) : metal4_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136784K) : heattrans_drw has 123 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136784K) : heatres_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136784K) : fbe_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136784K) : empoly_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136784K) : digisub_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136784K) : text_drw has 645 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : via4_drw has 991 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : metal5_drw has 14 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : metal5_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : metal5_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : metal5 has 14 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : metal5_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (136912K) : metal5_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137040K) : metal5_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137040K) : metal5_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137040K) : metal5_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137040K) : metal5_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137040K) : metal5_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137040K) : metal5_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137168K) : metal5_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137168K) : radhard_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137168K) : memcap_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137168K) : varicap_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137168K) : intbondvia_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137168K) : intbondmet_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : devbondvia_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : devbondmet_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : devtrench_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : redist_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : graphbot_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : graphtop_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137296K) : antvia1_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137424K) : antmetal2_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137424K) : graphcont_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137424K) : siwg_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137424K) : siwg_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137424K) : siwg_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137552K) : sigrating_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137552K) : singrating_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137552K) : graphpas_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137552K) : emwind3_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137680K) : emwihv3_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137680K) : redbulay_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137680K) : smos_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137680K) : graphpad_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137680K) : polimide_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137680K) : polimide_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137808K) : recog_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137808K) : recog_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137808K) : recog_esd has 4 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137808K) : recog_diode has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137808K) : recog_tsv has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137936K) : recog_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137936K) : recog_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137936K) : recog_pillar has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137936K) : recog_sbump has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137936K) : recog_otp has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (137936K) : recog_pdiode has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138064K) : recog_mom has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138064K) : recog_momf has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138064K) : recog_pcm has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138064K) : colopen_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138064K) : graphmetal1_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138064K) : graphmetal1_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138192K) : graphmetal1_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138192K) : graphmetal1_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138192K) : graphmetal1_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138192K) : graphmet1l_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138192K) : graphmet1l_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138192K) : graphmet1l_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138320K) : graphmet1l_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138320K) : graphmet1l_OPC has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138320K) : extblock_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138320K) : nldd_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138320K) : pldd_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138448K) : next_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138448K) : pext_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138448K) : nexthv_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138448K) : pexthv_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138448K) : graphgate_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138576K) : sinwg_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138576K) : sinwg_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138576K) : sinwg_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138576K) : mempad_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138576K) : topvia1_drw has 473 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138704K) : topmetal1_drw has 44 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138704K) : topmetal1_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138704K) : topmetal1_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138704K) : topmetal1 has 44 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138704K) : topmetal1_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138704K) : topmetal1_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138832K) : topmetal1_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138832K) : topmetal1_text has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138832K) : topmetal1_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138832K) : topmetal1_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138832K) : topmetal1_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138832K) : topmetal1_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138960K) : inldpwl_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138960K) : polyres_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138960K) : polyres_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138960K) : vmim_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (138960K) : nbulaycut_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139088K) : antmetal1_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139088K) : topvia2_drw has 227 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139088K) : topmetal2_drw has 41 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139088K) : topmetal2_filler has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139216K) : topmetal2_slit has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139216K) : topmetal2 has 41 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139216K) : topmetal2_pin has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139216K) : topmetal2_mask has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139344K) : topmetal2_nofill has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139344K) : topmetal2_text has 6 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139344K) : topmetal2_noqrc has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139472K) : topmetal2_res has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139472K) : topmetal2_iprobe has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139472K) : topmetal2_diffprb has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139600K) : snsring_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139600K) : sensor_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139600K) : snsarms_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139600K) : snscmosvia_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139728K) : colwind_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139728K) : flm_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139728K) : hafniumox_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139856K) : memvia_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139856K) : thinfilmres_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139856K) : rfmem_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139856K) : norcx_drw has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139984K) : norcx_m2m3 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139984K) : norcx_m2m4 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (139984K) : norcx_m2m5 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140112K) : norcx_m2tm1 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140112K) : norcx_m2tm2 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140112K) : norcx_m3m4 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m3m5 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m3tm1 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m3tm2 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m4m5 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m4tm1 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m4tm2 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m5tm1 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_m5tm2 has 0 polygons
2026-08-20 18:57:21 +0000: Memory Usage (140240K) : norcx_tm1tm2 has 0 polygons
