$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:31:03 +0000: Memory Usage (133740K) : passiv_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (133740K) : passiv_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (133868K) : passiv_sbump has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (133868K) : passiv_pillar has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (133996K) : passiv_pdl has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (133996K) : metal2_drw has 512 polygons
2026-08-20 16:31:03 +0000: Memory Usage (133996K) : metal2_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134124K) : metal2_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134124K) : metal2 has 512 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134252K) : metal2_pin has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134252K) : metal2_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134252K) : metal2_nofill has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134252K) : metal2_text has 3 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134380K) : metal2_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134380K) : metal2_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134380K) : metal2_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134380K) : metal2_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134508K) : metal2_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134508K) : baspoly_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134508K) : baspoly_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134636K) : psd_drw has 502 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134636K) : nldb_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134636K) : digibnd_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134636K) : via1_drw has 5760 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134764K) : backmetal1_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134764K) : backmetal1_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134764K) : backmetal1_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134764K) : backmetal1_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134892K) : backmetal1_nofill has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134892K) : backmetal1_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134892K) : backmetal1_text has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (134892K) : backmetal1_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135020K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135020K) : backmetal1_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135020K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135020K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135148K) : backpassiv_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135148K) : res_drw has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135148K) : sram_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135148K) : trans_drw has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135276K) : ind_drw has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135276K) : ind_pin has 4 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135276K) : ind_text has 4 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135276K) : salblock_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135404K) : via2_drw has 24 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135404K) : metal3_drw has 15 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135404K) : metal3_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135404K) : metal3_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3 has 15 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_nofill has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_text has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : metal3_diffprb has 0 polygons
