k,h_mV,h_over_h0,kept
-3,-8.023999994999365e-05,6.002071837255881e-07,no
-2,-8.023999994999365e-05,6.002071837255881e-07,no
-1,0.10188565571448467,-0.0007621199216916321,no
0,-133.68717023999997,1.0,yes
1,-0.008484525714213351,6.346551953326284e-05,no
2,0.025084760000168984,-0.00018763775129008962,no
3,0.003455188571492384,-2.584532655818435e-05,no
4,-0.0074153828570273275,5.546817128161938e-05,no
5,-0.013764239999852764,0.00010295857093199527,no
6,-0.0178043828571141,0.0001331794429125176,no
7,-0.020536239999952022,0.0001536141423525132,no
8,-0.02243438285701013,0.00016781253441699098,no
9,-0.023821097142854932,0.00017818536438530676,no
10,-0.02485252571439405,0.00018590060414756264,no
