freq_Hz,gain_dB,gd_ps
1000000.0,-8.038324791274269,nan
1011583.97,-8.038279077854897,nan
1023302.12,-8.038232268965288,nan
1035156.02,-8.038184452279536,nan
1047147.23,-8.038135452502503,nan
1059277.35,-8.038085401137295,nan
1071547.98,-8.038034166719788,nan
1083960.76,-8.037981705443759,nan
1096517.32,-8.03792810498523,nan
1109219.34,-8.037873233885431,nan
1122068.5,-8.03781709216845,nan
1135066.51,-8.037759679858926,nan
1148215.08,-8.037700953156303,nan
1161515.97,-8.037640868261803,nan
1174970.93,-8.037579381378476,nan
1188581.75,-8.037516492536103,nan
1202350.24,-8.037452157940638,nan
1216278.23,-8.037386333800047,nan
1230367.55,-8.037319020148205,nan
1244620.09,-8.037250173196263,nan
1259037.73,-8.037179705334456,nan
1273622.38,-8.037107660424983,nan
1288375.98,-8.037033907039945,nan
1303300.48,-8.036958532866878,nan
1318397.87,-8.036881362661514,nan
1333670.15,-8.036802484114167,nan
1349119.34,-8.036721765808956,nan
1364747.49,-8.036639207797174,nan
1380556.68,-8.036554766311323,nan
1396549.0,-8.036468397586814,nan
1412726.58,-8.036380014042972,nan
1429091.56,-8.036289659559937,nan
1445646.11,-8.036197202744741,nan
1462392.42,-8.036102687482213,nan
1479332.73,-8.036005938570764,nan
1496469.27,-8.035907043718447,nan
1513804.32,-8.03580587155,nan
1531340.18,-8.035702422145015,nan
1549079.17,-8.035596564139478,nan
1567023.65,-8.035488341436047,nan
1585176.0,-8.03537762268104,nan
1603538.63,-8.035264407969926,nan
1622113.96,-8.035148609774579,nan
1640904.48,-8.035030184386066,nan
1659912.66,-8.034909088100198,nan
1679141.03,-8.03478523340663,nan
1698592.15,-8.034658576612985,nan
1718268.58,-8.034529030222362,nan
1738172.95,-8.034396550555003,nan
1758307.89,-8.034261093936761,nan
1778676.06,-8.03412257289154,nan
1799280.19,-8.033980899952018,nan
1820122.99,-8.033836075272463,nan
1841207.23,-8.033687923788534,nan
1862535.72,-8.033536489475244,nan
1884111.27,-8.033381597288493,nan
1905936.75,-8.033223247413314,nan
1928015.06,-8.033061308631826,nan
1950349.12,-8.0328957373433,nan
1972941.9,-8.032726446154207,nan
1995796.39,-8.032553391482326,nan
2018915.63,-8.032376442155991,nan
2042302.68,-8.032195510817331,nan
2065960.65,-8.032010510121168,nan
2089892.67,-8.031821440327597,nan
2114101.91,-8.03162808272682,nan
2138591.6,-8.031430437605282,nan
2163364.97,-8.03122841766955,nan
2188425.32,-8.031021848056731,nan
2213775.97,-8.030810729091527,nan
2239420.27,-8.03059488594614,nan
2265361.64,-8.030374275184089,nan
2291603.52,-8.030148765805784,nan
