k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.14580733857122694,-0.0018718482489051176,no
0,-77.89485000000008,1.0,yes
1,0.46341228571413406,-0.005949203133636352,yes
2,0.1450275714285892,-0.0018618377393189547,no
3,0.044130999999926646,-0.0005665457985980665,no
4,0.01281657142831856,-0.00016453682661072647,no
5,0.0018754285713867003,-2.4076412900040227e-05,no
6,-0.0024748571429977955,3.177176851868632e-05,no
7,-0.004493000000094228,5.768032161425593e-05,no
8,-0.005567857143115189,7.147914326961518e-05,no
9,-0.006208285714394611,7.970084947072374e-05,no
10,-0.006615428571473839,8.492767585371603e-05,no
