k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.09803661142862502,-0.0006354138504436935,no
0,-154.28781000000004,1.0,yes
1,-0.12591671428545032,0.0008161157662776488,no
2,-0.024702857142783995,0.00016010893629758558,no
3,-0.022480999999872707,0.00014570820598122885,no
4,-0.024771999999814324,0.0001605570783577414,no
5,-0.027130285714235414,0.00017584205592285877,no
6,-0.02906428571424678,0.00018837707084083164,no
7,-0.030610999999880484,0.00019840193466924235,no
8,-0.03181942857148266,0.00020623423568901943,no
9,-0.03277071428550636,0.00021239989267788785,no
10,-0.0335261428571971,0.00021729612246876206,no
