k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.2639758110715121,-0.007159489282876514,yes
0,-36.870760000000004,1.0,yes
1,0.42237442857137175,-0.011455538984587562,yes
2,0.24850828571423914,-0.006739982731959936,yes
3,0.1427957142857229,-0.0038728714646978496,no
4,0.08211728571421159,-0.002227165529384574,no
5,0.047341142857106236,-0.0012839752382946875,no
6,0.027323571428516838,-0.0007410634179636339,no
7,0.015736999999882425,-0.00042681517820306454,no
8,0.00896399999994468,-0.0002431194800417642,no
9,0.004959571428481927,-0.00013451231893462262,no
10,0.002570142857107247,-6.970680444632132e-05,no
