VCTRL_V,VCE_V,VDS_tail_V,Vout_CM_V,Ic_signal_A,op_ok,above_vce_floor,op_error
0.1500,0.8727,0.5365,1.4092,0.000215279,yes,no,
0.2800,0.9220,0.4859,1.4079,0.000782563,yes,yes,
0.4200,0.9469,0.4602,1.4070,0.00125517,yes,yes,
0.6500,0.9718,0.4356,1.4074,0.00180952,yes,yes,
1.0000,1.0117,0.3978,1.4094,0.00282418,yes,yes,
