freq_Hz,gain_dB,gd_ps
1000000.0,2.7572239936870075,nan
1011583.97,2.7573170109281997,nan
1023302.12,2.757412164448509,nan
1035156.02,2.757509517409993,nan
1047147.23,2.7576091076776237,nan
1059277.35,2.7577110110514056,nan
1071547.98,2.7578152527419335,nan
1083960.76,2.757921895894278,nan
1096517.32,2.7580310036484574,nan
1109219.34,2.75814262649372,nan
1122068.5,2.7582568275599133,nan
1135066.51,2.758373644680923,nan
1148215.08,2.7584931536213206,nan
1161515.97,2.758615417494208,nan
1174970.93,2.7587404994065383,nan
1188581.75,2.7588684498144582,nan
1202350.24,2.7589993571011835,nan
1216278.23,2.7591332590652677,nan
1230367.55,2.7592702440754353,nan
1244620.09,2.7594103878479155,nan
1259037.73,2.7595537408036996,nan
1273622.38,2.7597003786434584,nan
1288375.98,2.759850389702112,nan
1303300.48,2.7600038496618056,nan
1318397.87,2.7601608215526694,nan
1333670.15,2.7603213936807873,nan
1349119.34,2.7604856416991854,nan
1364747.49,2.76065366653431,nan
1380556.68,2.760825531175066,nan
1396549.0,2.761001336524443,nan
1412726.58,2.76118115818976,nan
1429091.56,2.7613650970482464,nan
1445646.11,2.7615532413222525,nan
1462392.42,2.7617456792204416,nan
1479332.73,2.7619425242173805,nan
1496469.27,2.7621438644913217,nan
1513804.32,2.7623498008448415,nan
1531340.18,2.762560421424658,nan
1549079.17,2.762775864916594,nan
1567023.65,2.762996206792474,nan
1585176.0,2.76322156042266,nan
1603538.63,2.7634520644327987,nan
1622113.96,2.763687794237492,nan
1640904.48,2.763928901056458,nan
1659912.66,2.76417548553579,nan
1679141.03,2.7644276609362795,nan
1698592.15,2.7646855657669023,nan
1718268.58,2.76494932587338,nan
1738172.95,2.765219067074432,nan
1758307.89,2.7654949151609474,nan
1778676.06,2.765777021163929,nan
1799280.19,2.766065510813414,nan
1820122.99,2.7663605098087967,nan
1841207.23,2.766662194350456,nan
1862535.72,2.7669706774356353,nan
1884111.27,2.7672861225586045,nan
1905936.75,2.7676086931733526,nan
1928015.06,2.767938527429698,nan
1950349.12,2.7682757887000085,nan
1972941.9,2.768620627682143,nan
1995796.39,2.7689732329197225,nan
2018915.63,2.7693337423881785,nan
2042302.68,2.769702357162203,nan
2065960.65,2.770079227747283,nan
2089892.67,2.7704645424822667,nan
2114101.91,2.7708584896482207,nan
2138591.6,2.771261232213695,nan
2163364.97,2.7716729835939113,nan
2188425.32,2.7720939192602065,nan
2213775.97,2.772524239870238,nan
2239420.27,2.772964133387812,nan
2265361.64,2.773413825577232,nan
2291603.52,2.7738735168779445,nan
2318149.37,2.7743433950307645,nan
2345002.74,2.774823710806656,nan
2372167.17,2.775314651781127,nan
2399646.28,2.7758164559278615,nan
2427443.7,2.7763293611251716,nan
2455563.13,2.7768535672980517,nan
2484008.29,2.777389337367114,nan
2512782.96,2.777936896292121,nan
2541890.95,2.7784964941603296,nan
2571336.13,2.779068380944882,nan
2601122.4,2.7796527938870854,nan
2631253.72,2.780250007950726,nan
2661734.07,2.7808602853553346,nan
2692567.51,2.781483862965026,nan
2723758.12,2.7821210405685055,nan
2755310.04,2.7827720925836807,nan
2787227.46,2.7834372806713747,nan
2819514.61,2.7841168915591674,nan
2852175.78,2.7848112244202676,nan
2885215.28,2.7855205656521065,nan
2918637.52,2.7862452140858713,nan
2952446.92,2.786985468372534,nan
2986647.97,2.787741639580087,nan
3021245.2,2.7885140259797625,nan
3056243.2,2.789302976047256,nan
3091646.62,2.7901087876411372,nan
3127460.15,2.7909317836073373,nan
3163688.54,2.7917722991645126,nan
3200336.61,2.7926306818913944,nan
3237409.2,2.7935072539311863,nan
3274911.24,2.794402374961641,nan
3312847.7,2.795316379210772,nan
3351223.62,2.7962496384135473,nan
3390044.08,2.7972024988399067,nan
3429314.24,2.798175331650148,nan
3469039.3,2.799168495114844,nan
3509224.53,2.8001823723670687,nan
3549875.27,2.8012173336300705,nan
3590996.91,2.8022737613786393,nan
3632594.9,2.8033520503223186,nan
3674674.75,2.804452582231363,nan
3717242.06,2.8055757510882575,nan
3760302.47,2.8067219504946195,nan
3803861.69,2.8078915988075486,nan
3847925.5,2.8090850888255674,nan
3892499.74,2.810302838074225,nan
3937590.32,2.8115452510732606,nan
3983203.24,2.812812757032679,nan
4029344.53,2.8141057721296137,nan
4076020.32,2.815424724630276,nan
4123236.81,2.8167700423075477,nan
4171000.24,2.8181421524282197,nan
4219316.97,2.819541481739993,nan
4268193.4,2.8209684815671454,nan
4317636.01,2.822423577566959,nan
4367651.36,2.8239072199373982,nan
4418246.08,2.8254198457376587,nan
4469426.9,2.8269619039759935,nan
4521200.59,2.8285338304969017,nan
4573574.03,2.830136085600995,nan
4626554.16,2.8317691163900993,nan
4680148.0,2.8334333692996423,nan
4734362.68,2.835129290082907,nan
4789205.38,2.8368573363264904,nan
4844683.38,2.8386179523636206,nan
4900804.03,2.8404115943229247,nan
4957574.78,2.8422387050512974,nan
5015003.16,2.844099726631086,nan
5073096.78,2.845995125399732,nan
5131863.37,2.8479253168118115,nan
5191310.7,2.849890778091349,nan
5251446.67,2.8518919105356613,nan
5312279.25,2.853929177159469,nan
5373816.52,2.8560029900691886,nan
5436066.63,2.8581137980103777,nan
5499037.84,2.860262011317806,nan
5562738.51,2.862448051922082,nan
5627177.09,2.8646723283334055,nan
5692362.12,2.866935260615949,nan
5758302.25,2.869237230414252,nan
5825006.23,2.87157864339255,nan
5892482.91,2.873959891749526,nan
5960741.24,2.87638134174299,nan
6029790.26,2.878843358649552,nan
6099639.15,2.881346306747952,nan
6170297.17,2.883890536838496,nan
6241773.68,2.8864763862447345,nan
6314078.18,2.8891041788159297,nan
6387220.25,2.8917742373828235,nan
6461209.6,2.894486871293711,nan
6536056.03,2.8972423515295302,nan
6611769.49,2.900040960511663,nan
6688360.0,2.9028829671954064,nan
6765837.74,2.905768614644519,nan
6844212.98,2.9086981200600177,nan
6923496.11,2.911671724506758,nan
7003697.66,2.914689605921952,nan
7084828.26,2.917751941289149,nan
7166898.67,2.920858894218611,nan
7249919.79,2.9240106273673803,nan
7333902.62,2.9272072280205097,nan
7418858.3,2.9304488073989927,nan
7504798.11,2.933735463431168,nan
7591733.44,2.93706723122014,nan
7679675.82,2.940444157456664,nan
7768636.93,2.9438662508810145,nan
7858628.56,2.9473335071009727,nan
7949662.65,2.9508458715122785,nan
8041751.28,2.954403288852267,nan
8134906.65,2.9580056784869453,nan
