VCTRL_V,dc_gain_dB,ac_gain_28G_dB,peaking_28G_dB,G_peak_dB,f_peak_Hz,f_3dB_Hz
0.15,-5.608327003976228,-6.692568839233311,-1.0842418352570826,-5.240849946071913,532176612.0,44156088715.68916
0.28,1.0498220347197145,0.28458823939886746,-0.765233795320847,1.7996245270446443,576858564.0,42806029457.653946
0.42,2.7572239936870075,2.110975209551943,-0.6462487841350644,3.6388605199256623,570252775.0,42525741064.729294
0.65,3.8209523265302217,3.2973010440362955,-0.5236512824939261,4.8265812757587,583540875.0,42416922871.27901
1.0,4.95862952777969,4.544910238223447,-0.4137192895562434,6.052810280257976,576858564.0,42882110407.97248
