k,h_mV,h_over_h0,kept
-3,-2.3439999857766125e-05,1.5863560994655877e-07,no
-2,-2.3439999857766125e-05,1.5863560994655877e-07,no
-1,0.02061546035715205,-0.00013951988685709777,no
0,-147.76001344000002,1.0,yes
1,-2.1660677257142447,0.014659363350652415,yes
2,0.04399927428566098,-0.0002977752455574017,no
3,0.02512513142856767,-0.00017004012684913617,no
4,0.011186845714202169,-7.570956075166264e-05,no
5,0.0019128457142446075,-1.294562493405122e-05,no
6,-0.0046931542855566475,3.176200499915606e-05,no
7,-0.009484439999912777,6.418813709545352e-05,no
8,-0.012998154285718901,8.79680096333842e-05,no
9,-0.015587297142992992,0.00010549063159988429,no
10,-0.01751058285704115,0.00011850691164258429,no
