k,h_mV,h_over_h0,kept
-3,-7.539999988259716e-05,6.41787960201502e-07,no
-2,-8.540000004386705e-05,7.269057283117032e-07,no
-1,0.08803699142855564,-0.0007493512100687774,no
0,-117.48428540000008,1.0,yes
1,-1.4218222571427743,0.01210223352256755,yes
2,0.13360545714284824,-0.0011372198135943053,no
3,0.05635531428575374,-0.0004796838495793728,no
4,0.02533574285717749,-0.0002156521850638713,no
5,0.011422742857153383,-9.72278362017715e-05,no
6,0.003689600000011117,-3.14050512155655e-05,no
7,-0.0013163999999343836,1.1204902812767014e-05,no
8,-0.004834542857142166,4.115054911967114e-05,no
9,-0.007395114285666369,6.294556127645617e-05,no
10,-0.0092798285714473,7.898782837085116e-05,no
