time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
9.981429e-10,1.37700025,1.32617774,1.32536293,1.37536293,0.05082250999999993,-0.050000000000000044
9.991429e-10,1.37742958,1.325682,1.32536293,1.37536293,0.051747580000000015,-0.050000000000000044
1e-09,1.37771123,1.32535284,1.32536293,1.37536293,0.05235838999999998,-0.050000000000000044
1.0001e-09,1.37775799,1.32530171,1.32647404,1.37425182,0.05245628000000013,-0.0477777800000001
1.0003e-09,1.37785128,1.32520301,1.32869626,1.3720296,0.05264826999999994,-0.04333334
1.0007e-09,1.37796173,1.32512177,1.33314071,1.36758515,0.05283996000000002,-0.03444444000000013
1.0015e-09,1.37744389,1.32595509,1.3420296,1.35869626,0.0514888,-0.016666660000000055
1.0025e-09,1.37491141,1.32929065,1.35314071,1.34758515,0.04562076000000004,0.005555559999999904
1.0035e-09,1.37006374,1.33499674,1.36425182,1.33647404,0.03506699999999996,0.027777780000000085
1.0045e-09,1.36298421,1.34241771,1.37536293,1.32536293,0.020566499999999932,0.050000000000000044
1.0046e-09,1.36213164,1.34325399,1.37536293,1.32536293,0.01887765000000008,0.050000000000000044
1.0048e-09,1.36038938,1.34494407,1.37536293,1.32536293,0.015445310000000045,0.050000000000000044
1.0052e-09,1.35678642,1.34834259,1.37536293,1.32536293,0.008443830000000041,0.050000000000000044
1.006e-09,1.34976192,1.35472628,1.37536293,1.32536293,-0.004964360000000001,0.050000000000000044
1.007e-09,1.34212254,1.36144395,1.37536293,1.32536293,-0.019321409999999872,0.050000000000000044
1.008e-09,1.33610024,1.36665647,1.37536293,1.32536293,-0.030556229999999962,0.050000000000000044
1.009e-09,1.33155285,1.37058902,1.37536293,1.32536293,-0.039036169999999926,0.050000000000000044
1.01e-09,1.32815712,1.37354769,1.37536293,1.32536293,-0.04539057000000013,0.050000000000000044
1.011e-09,1.32560603,1.37579378,1.37536293,1.32536293,-0.050187749999999864,0.050000000000000044
1.012e-09,1.32367681,1.3775109,1.37536293,1.32536293,-0.05383409000000006,0.050000000000000044
1.013e-09,1.32221945,1.37882442,1.37536293,1.32536293,-0.05660496999999998,0.050000000000000044
1.014e-09,1.32112547,1.37982718,1.37536293,1.32536293,-0.05870171000000002,0.050000000000000044
1.015e-09,1.32030983,1.38059223,1.37536293,1.32536293,-0.06028239999999996,0.050000000000000044
1.016e-09,1.31970501,1.38117703,1.37536293,1.32536293,-0.06147201999999985,0.050000000000000044
1.017e-09,1.31925906,1.38162537,1.37536293,1.32536293,-0.062366310000000036,0.050000000000000044
1.018e-09,1.31893278,1.38197022,1.37536293,1.32536293,-0.06303744,0.050000000000000044
1.019e-09,1.31869678,1.38223632,1.37536293,1.32536293,-0.06353954000000006,0.050000000000000044
1.02e-09,1.31852871,1.38244252,1.37536293,1.32536293,-0.06391380999999985,0.050000000000000044
1.021e-09,1.3184116,1.38260308,1.37536293,1.32536293,-0.06419148000000008,0.050000000000000044
1.022e-09,1.31833251,1.38272894,1.37536293,1.32536293,-0.06439642999999995,0.050000000000000044
1.023e-09,1.31828167,1.38282832,1.37536293,1.32536293,-0.06454665000000004,0.050000000000000044
1.024e-09,1.31825167,1.38290751,1.37536293,1.32536293,-0.06465583999999991,0.050000000000000044
1.025e-09,1.31823696,1.38297121,1.37536293,1.32536293,-0.0647342500000001,0.050000000000000044
1.026e-09,1.31823333,1.38302305,1.37536293,1.32536293,-0.06478972000000005,0.050000000000000044
1.027e-09,1.31823764,1.38306573,1.37536293,1.32536293,-0.06482809,0.050000000000000044
1.028e-09,1.31824753,1.38310133,1.37536293,1.32536293,-0.06485379999999985,0.050000000000000044
1.029e-09,1.31826125,1.38313142,1.37536293,1.32536293,-0.06487017000000006,0.050000000000000044
1.03e-09,1.31827749,1.38315721,1.37536293,1.32536293,-0.06487971999999997,0.050000000000000044
1.031e-09,1.3182953,1.38317959,1.37536293,1.32536293,-0.06488428999999996,0.050000000000000044
1.032e-09,1.31831397,1.38319926,1.37536293,1.32536293,-0.0648852900000001,0.050000000000000044
1.033e-09,1.31833299,1.38321675,1.37536293,1.32536293,-0.06488376000000007,0.050000000000000044
1.034e-09,1.31835198,1.38323248,1.37536293,1.32536293,-0.0648804999999999,0.050000000000000044
1.035e-09,1.31837071,1.38324675,1.37536293,1.32536293,-0.06487604000000013,0.050000000000000044
1.035714e-09,1.31838381,1.38325618,1.37536293,1.32536293,-0.06487237000000001,0.050000000000000044
1.035814e-09,1.31836761,1.3832763,1.37425182,1.32647404,-0.06490868999999999,0.0477777800000001
1.036014e-09,1.31833714,1.38331825,1.3720296,1.32869626,-0.06498111000000018,0.04333334
1.036414e-09,1.31838381,1.38333969,1.36758515,1.33314071,-0.06495587999999985,0.03444444000000013
1.037214e-09,1.31945285,1.38271203,1.35869626,1.3420296,-0.06325917999999997,0.016666660000000055
1.038214e-09,1.32307406,1.38017845,1.34758515,1.35314071,-0.057104390000000116,-0.005555559999999904
1.039214e-09,1.32908134,1.3754626,1.33647404,1.36425182,-0.04638125999999998,-0.027777780000000085
1.040214e-09,1.33683345,1.36860775,1.32536293,1.37536293,-0.03177429999999992,-0.050000000000000044
1.040314e-09,1.33770479,1.36778147,1.32536293,1.37536293,-0.030076679999999856,-0.050000000000000044
1.040514e-09,1.33946541,1.36609238,1.32536293,1.37536293,-0.026626969999999917,-0.050000000000000044
1.040914e-09,1.34300576,1.36259734,1.32536293,1.37536293,-0.019591579999999942,-0.050000000000000044
1.041714e-09,1.34965918,1.3557787,1.32536293,1.37536293,-0.006119519999999934,-0.050000000000000044
1.042714e-09,1.35666161,1.34835241,1.32536293,1.37536293,0.008309200000000017,-0.050000000000000044
1.043714e-09,1.36208865,1.34248157,1.32536293,1.37536293,0.01960708000000011,-0.050000000000000044
1.044714e-09,1.36617225,1.33802957,1.32536293,1.37536293,0.028142679999999975,-0.050000000000000044
1.045714e-09,1.36923243,1.33468559,1.32536293,1.37536293,0.03454683999999997,-0.050000000000000044
1.046714e-09,1.37154374,1.33215431,1.32536293,1.37536293,0.03938942999999995,-0.050000000000000044
1.047714e-09,1.37329992,1.33022204,1.32536293,1.37536293,0.04307788000000001,-0.050000000000000044
1.048714e-09,1.37463337,1.32874536,1.32536293,1.37536293,0.04588800999999987,-0.050000000000000044
1.049714e-09,1.37564198,1.3276206,1.32536293,1.37536293,0.04802138,-0.050000000000000044
1.050714e-09,1.37640263,1.32676636,1.32536293,1.37536293,0.04963627000000015,-0.050000000000000044
1.051714e-09,1.37697576,1.32611785,1.32536293,1.37536293,0.05085791000000017,-0.050000000000000044
1.052714e-09,1.37740743,1.32562514,1.32536293,1.37536293,0.05178229000000001,-0.050000000000000044
