k,h_mV,h_over_h0,kept
-3,-1.3877787807814457e-14,7.046721068009652e-17,no
-2,-1.3877787807814457e-14,7.046721068009652e-17,no
-1,-0.061663131428515365,0.0003131067381734223,no
0,-196.9396499999998,1.0,yes
1,-3.0101602857141256,0.015284683839511894,yes
2,-0.0362312857142146,0.00018397151469607382,no
3,-0.02399071428560559,0.00012181759379386333,no
4,-0.02707442857135415,0.0001374757626072463,no
5,-0.030037999999966782,0.00015252388231606388,no
6,-0.032471142857107296,0.00016487864610862936,no
7,-0.034373000000079146,0.00017453570167347805,no
8,-0.03585899999993298,0.00018208116039575075,no
9,-0.03699485714292897,0.00018784869955303064,no
10,-0.03787357142850826,0.00019231054502487588,no
