$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/coils_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/coils_only/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/coils_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:20 +0000: Memory Usage (133916K) : passiv_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134044K) : passiv_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134044K) : passiv_sbump has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134044K) : passiv_pillar has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134172K) : passiv_pdl has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134172K) : metal2_drw has 512 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134172K) : metal2_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134300K) : metal2_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134300K) : metal2 has 512 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134428K) : metal2_pin has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134428K) : metal2_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134428K) : metal2_nofill has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134428K) : metal2_text has 3 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134556K) : metal2_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134556K) : metal2_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134556K) : metal2_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134556K) : metal2_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134684K) : metal2_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134684K) : baspoly_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134684K) : baspoly_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134812K) : psd_drw has 502 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134812K) : nldb_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134812K) : digibnd_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134812K) : via1_drw has 5760 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134940K) : backmetal1_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134940K) : backmetal1_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134940K) : backmetal1_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (134940K) : backmetal1_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135068K) : backmetal1_nofill has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135068K) : backmetal1_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135068K) : backmetal1_text has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135068K) : backmetal1_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135196K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135196K) : backmetal1_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135196K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135196K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135324K) : backpassiv_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135324K) : res_drw has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135324K) : sram_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135324K) : trans_drw has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135452K) : ind_drw has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135452K) : ind_pin has 4 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135452K) : ind_text has 4 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135452K) : salblock_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135580K) : via2_drw has 24 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135580K) : metal3_drw has 15 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135580K) : metal3_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135580K) : metal3_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135708K) : metal3 has 15 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135708K) : metal3_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135708K) : metal3_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_nofill has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_text has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : metal3_diffprb has 0 polygons
