k,h_mV,h_over_h0,kept
-3,-7.579999987405994e-05,6.557445917136827e-07,no
-2,-8.580000003532984e-05,7.422544338480329e-07,no
-1,0.08158589071439733,-0.000705798241226885,no
0,-115.59378580000006,1.0,yes
1,-3.2424369428571502,0.028050270353349293,yes
2,0.11173705714283678,-0.0009666355018094469,no
3,0.07006534285725656,-0.0006061341651919192,no
4,0.03282062857132798,-0.0002839307350666247,no
5,0.015414199999974214,-0.0001333479987120052,no
6,0.006007057142813785,-5.1966955673613566e-05,no
7,0.00016520000001573885,-1.4291425691478544e-06,no
8,-0.0038060857143120863,3.292638689849091e-05,no
9,-0.006649657142892722,5.7526078040197884e-05,no
10,-0.008732942857208763,7.554854957617244e-05,no
