k,h_mV,h_over_h0,kept
-3,-6.439999960389242e-06,1.3684388403615262e-07,no
-2,-6.439999960389242e-06,1.3684388403615262e-07,no
-1,0.2233615889288121,-0.004746221671041396,no
0,-47.060926439999804,1.0,yes
1,-0.8980977257141919,0.019083723879920193,yes
2,0.3258081314288285,-0.006923113420731669,yes
3,0.20183227428576717,-0.0042887441781047945,no
4,0.11785227428590421,-0.0025042489215795537,no
5,0.06893356000001885,-0.0014647726939227492,no
6,0.04041527428593658,-0.0008587862021259595,no
7,0.02367956000012896,-0.0005031681650024283,no
8,0.013789560000197463,-0.00029301505608433833,no
9,0.007889988571461705,-0.00016765476518021852,no
10,0.004322845714418491,-9.185636665971485e-05,no
