time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
4.607243e-09,1.38462758,1.31567917,1.32647404,1.37425182,0.06894841000000018,-0.0477777800000001
4.607443e-09,1.38466043,1.31564866,1.32869626,1.3720296,0.06901177000000014,-0.04333334
4.607843e-09,1.38464342,1.31569647,1.33314071,1.36758515,0.06894694999999995,-0.03444444000000013
4.608643e-09,1.38380755,1.31677149,1.3420296,1.35869626,0.06703605999999995,-0.016666660000000055
4.609643e-09,1.38071339,1.32046388,1.35314071,1.34758515,0.060249510000000006,0.005555559999999904
4.610643e-09,1.3751118,1.32674127,1.36425182,1.33647404,0.04837052999999991,0.027777780000000085
4.611643e-09,1.36709574,1.33512838,1.37536293,1.32536293,0.03196735999999989,0.050000000000000044
4.611743e-09,1.36614142,1.33608821,1.37536293,1.32536293,0.03005320999999994,0.050000000000000044
4.611943e-09,1.36419332,1.33803446,1.37536293,1.32536293,0.026158860000000006,0.050000000000000044
4.612343e-09,1.3601615,1.34199479,1.37536293,1.32536293,0.01816671000000003,0.050000000000000044
4.613143e-09,1.35221081,1.34962869,1.37536293,1.32536293,0.002582120000000021,0.050000000000000044
4.614143e-09,1.34332419,1.35798157,1.37536293,1.32536293,-0.014657380000000053,0.050000000000000044
4.615143e-09,1.33603709,1.36474104,1.37536293,1.32536293,-0.028703949999999923,0.050000000000000044
4.616143e-09,1.33031123,1.37002367,1.37536293,1.32536293,-0.03971243999999996,0.050000000000000044
4.617143e-09,1.32588616,1.37411133,1.37536293,1.32536293,-0.04822517000000004,0.050000000000000044
4.618143e-09,1.32244172,1.37731189,1.37536293,1.32536293,-0.05487017000000005,0.050000000000000044
4.619143e-09,1.31970303,1.37987258,1.37536293,1.32536293,-0.060169549999999905,0.050000000000000044
4.620143e-09,1.31748649,1.38195175,1.37536293,1.32536293,-0.06446525999999997,0.050000000000000044
4.621143e-09,1.3156877,1.38363925,1.37536293,1.32536293,-0.06795155000000008,0.050000000000000044
4.622143e-09,1.31424403,1.38499265,1.37536293,1.32536293,-0.07074862000000004,0.050000000000000044
4.623143e-09,1.31310312,1.38606359,1.37536293,1.32536293,-0.07296046999999994,0.050000000000000044
4.624143e-09,1.3122106,1.38690551,1.37536293,1.32536293,-0.07469491000000006,0.050000000000000044
4.625143e-09,1.31151247,1.38756963,1.37536293,1.32536293,-0.07605715999999996,0.050000000000000044
4.626143e-09,1.31096243,1.3880984,1.37536293,1.32536293,-0.07713597000000005,0.050000000000000044
4.627143e-09,1.31052571,1.38852291,1.37536293,1.32536293,-0.07799719999999999,0.050000000000000044
4.628143e-09,1.31017838,1.38886448,1.37536293,1.32536293,-0.07868610000000009,0.050000000000000044
4.629143e-09,1.30990367,1.38913839,1.37536293,1.32536293,-0.07923472000000009,0.050000000000000044
4.630143e-09,1.30968852,1.38935684,1.37536293,1.32536293,-0.07966832000000013,0.050000000000000044
4.631143e-09,1.3095215,1.38953062,1.37536293,1.32536293,-0.08000911999999993,0.050000000000000044
4.632143e-09,1.30939254,1.38966911,1.37536293,1.32536293,-0.0802765700000001,0.050000000000000044
4.633143e-09,1.30929316,1.38978013,1.37536293,1.32536293,-0.08048696999999994,0.050000000000000044
4.634143e-09,1.30921673,1.38986966,1.37536293,1.32536293,-0.08065293000000007,0.050000000000000044
4.635143e-09,1.30915828,1.38994221,1.37536293,1.32536293,-0.08078393000000017,0.050000000000000044
4.636143e-09,1.30911413,1.39000113,1.37536293,1.32536293,-0.08088699999999993,0.050000000000000044
4.637143e-09,1.30908138,1.39004908,1.37536293,1.32536293,-0.08096769999999998,0.050000000000000044
4.638143e-09,1.30905772,1.39008823,1.37536293,1.32536293,-0.08103050999999994,0.050000000000000044
4.639143e-09,1.30904117,1.3901204,1.37536293,1.32536293,-0.08107923000000006,0.050000000000000044
4.640143e-09,1.30903017,1.39014705,1.37536293,1.32536293,-0.08111687999999995,0.050000000000000044
4.641143e-09,1.30902343,1.39016936,1.37536293,1.32536293,-0.08114592999999992,0.050000000000000044
4.642143e-09,1.30901999,1.39018822,1.37536293,1.32536293,-0.08116823000000006,0.050000000000000044
4.642857e-09,1.30901915,1.39019995,1.37536293,1.32536293,-0.08118080000000005,0.050000000000000044
4.642957e-09,1.30900361,1.39021755,1.37425182,1.32647404,-0.08121394000000004,0.0477777800000001
4.643157e-09,1.30897528,1.39025219,1.3720296,1.32869626,-0.08127690999999992,0.04333334
4.643557e-09,1.30902745,1.3902408,1.36758515,1.33314071,-0.08121334999999985,0.03444444000000013
4.644357e-09,1.31011514,1.38943263,1.35869626,1.3420296,-0.07931748999999999,0.016666660000000055
4.645357e-09,1.31384329,1.38641399,1.34758515,1.35314071,-0.07257069999999999,-0.005555559999999904
4.646357e-09,1.32019155,1.38093213,1.33647404,1.36425182,-0.06074057999999982,-0.027777780000000085
4.647357e-09,1.32869159,1.3730677,1.32536293,1.37536293,-0.04437610999999997,-0.050000000000000044
4.647457e-09,1.32966524,1.3721298,1.32536293,1.37536293,-0.042464559999999985,-0.050000000000000044
4.647657e-09,1.33163993,1.37021473,1.32536293,1.37536293,-0.03857480000000013,-0.050000000000000044
4.648057e-09,1.33566129,1.36624994,1.32536293,1.37536293,-0.030588650000000106,-0.050000000000000044
4.648857e-09,1.34342424,1.3584316,1.32536293,1.37536293,-0.015007360000000025,-0.050000000000000044
4.649857e-09,1.35193248,1.34969538,1.32536293,1.37536293,0.002237100000000103,-0.050000000000000044
4.650857e-09,1.35882641,1.34253339,1.32536293,1.37536293,0.01629301999999999,-0.050000000000000044
4.651857e-09,1.36421852,1.33690655,1.32536293,1.37536293,0.027311970000000185,-0.050000000000000044
4.652857e-09,1.36839235,1.33255803,1.32536293,1.37536293,0.035834319999999975,-0.050000000000000044
4.653857e-09,1.3716597,1.32917189,1.32536293,1.37536293,0.042487809999999904,-0.050000000000000044
4.654857e-09,1.37427214,1.32647693,1.32536293,1.37536293,0.047795209999999866,-0.050000000000000044
4.655857e-09,1.37639153,1.32429248,1.32536293,1.37536293,0.052099050000000036,-0.050000000000000044
4.656857e-09,1.37811016,1.32251637,1.32536293,1.37536293,0.05559379000000009,-0.050000000000000044
4.657857e-09,1.37948719,1.32108771,1.32536293,1.37536293,0.05839948000000006,-0.050000000000000044
4.658857e-09,1.3805754,1.31995558,1.32536293,1.37536293,0.06061981999999988,-0.050000000000000044
4.659857e-09,1.38142929,1.31906687,1.32536293,1.37536293,0.06236242000000014,-0.050000000000000044
4.660857e-09,1.38210108,1.31836867,1.32536293,1.37536293,0.06373241000000007,-0.050000000000000044
4.661857e-09,1.38263411,1.31781551,1.32536293,1.37536293,0.06481859999999995,-0.050000000000000044
4.662857e-09,1.38306023,1.31737334,1.32536293,1.37536293,0.06568688999999983,-0.050000000000000044
4.663857e-09,1.38340132,1.31701878,1.32536293,1.37536293,0.06638253999999999,-0.050000000000000044
4.664857e-09,1.38367307,1.3167355,1.32536293,1.37536293,0.06693756999999989,-0.050000000000000044
4.665857e-09,1.38388806,1.31651075,1.32536293,1.37536293,0.06737731000000013,-0.050000000000000044
4.666857e-09,1.38405735,1.3163334,1.32536293,1.37536293,0.06772394999999998,-0.050000000000000044
4.667857e-09,1.38419057,1.3161936,1.32536293,1.37536293,0.06799696999999982,-0.050000000000000044
4.668857e-09,1.3842957,1.31608305,1.32536293,1.37536293,0.06821264999999999,-0.050000000000000044
4.669857e-09,1.38437892,1.31599527,1.32536293,1.37536293,0.06838365000000013,-0.050000000000000044
4.670857e-09,1.38444485,1.31592539,1.32536293,1.37536293,0.06851945999999987,-0.050000000000000044
4.671857e-09,1.38449693,1.31586982,1.32536293,1.37536293,0.06862710999999999,-0.050000000000000044
4.672857e-09,1.38453791,1.31582572,1.32536293,1.37536293,0.06871218999999984,-0.050000000000000044
4.673857e-09,1.38457002,1.31579082,1.32536293,1.37536293,0.06877920000000004,-0.050000000000000044
4.674857e-09,1.38459512,1.3157632,1.32536293,1.37536293,0.06883192000000005,-0.050000000000000044
4.675857e-09,1.38461471,1.3157413,1.32536293,1.37536293,0.06887340999999991,-0.050000000000000044
4.676857e-09,1.38463001,1.31572387,1.32536293,1.37536293,0.06890613999999995,-0.050000000000000044
4.677857e-09,1.38464191,1.31570994,1.32536293,1.37536293,0.06893196999999995,-0.050000000000000044
4.678857e-09,1.38465114,1.31569879,1.32536293,1.37536293,0.06895235,-0.050000000000000044
4.679857e-09,1.38465825,1.31568984,1.32536293,1.37536293,0.06896840999999987,-0.050000000000000044
4.680857e-09,1.38466368,1.31568262,1.32536293,1.37536293,0.06898106000000004,-0.050000000000000044
4.681857e-09,1.38466779,1.31567678,1.32536293,1.37536293,0.06899100999999996,-0.050000000000000044
4.682857e-09,1.38467087,1.31567201,1.32536293,1.37536293,0.06899886000000022,-0.050000000000000044
4.683857e-09,1.38467314,1.31566808,1.32536293,1.37536293,0.06900506000000006,-0.050000000000000044
4.684857e-09,1.38467479,1.31566481,1.32536293,1.37536293,0.06900998000000014,-0.050000000000000044
4.685857e-09,1.38467594,1.31566205,1.32536293,1.37536293,0.06901388999999991,-0.050000000000000044
4.686857e-09,1.38467672,1.31565969,1.32536293,1.37536293,0.06901703000000015,-0.050000000000000044
4.687857e-09,1.38467719,1.31565766,1.32536293,1.37536293,0.06901952999999983,-0.050000000000000044
4.688857e-09,1.38467744,1.31565586,1.32536293,1.37536293,0.06902158000000003,-0.050000000000000044
4.689857e-09,1.3846775,1.31565426,1.32536293,1.37536293,0.06902323999999993,-0.050000000000000044
4.690857e-09,1.38467744,1.31565281,1.32536293,1.37536293,0.06902462999999992,-0.050000000000000044
4.691857e-09,1.38467727,1.31565148,1.32536293,1.37536293,0.06902578999999998,-0.050000000000000044
4.692857e-09,1.38467703,1.31565024,1.32536293,1.37536293,0.0690267899999999,-0.050000000000000044
4.693857e-09,1.38467673,1.31564906,1.32536293,1.37536293,0.0690276700000001,-0.050000000000000044
4.694857e-09,1.3846764,1.31564794,1.32536293,1.37536293,0.06902845999999996,-0.050000000000000044
4.695857e-09,1.38467603,1.31564687,1.32536293,1.37536293,0.06902916000000014,-0.050000000000000044
4.696857e-09,1.38467565,1.31564582,1.32536293,1.37536293,0.06902982999999985,-0.050000000000000044
4.697857e-09,1.38467525,1.31564481,1.32536293,1.37536293,0.06903043999999992,-0.050000000000000044
4.698857e-09,1.38467485,1.31564381,1.32536293,1.37536293,0.06903103999999982,-0.050000000000000044
4.699857e-09,1.38467445,1.31564283,1.32536293,1.37536293,0.06903161999999985,-0.050000000000000044
4.700857e-09,1.38467405,1.31564186,1.32536293,1.37536293,0.06903219000000016,-0.050000000000000044
4.701857e-09,1.38467366,1.3156409,1.32536293,1.37536293,0.06903276000000003,-0.050000000000000044
4.702857e-09,1.38467327,1.31563994,1.32536293,1.37536293,0.06903332999999989,-0.050000000000000044
4.703857e-09,1.38467289,1.31563899,1.32536293,1.37536293,0.06903389999999998,-0.050000000000000044
4.704857e-09,1.38467253,1.31563805,1.32536293,1.37536293,0.06903448000000001,-0.050000000000000044
4.705857e-09,1.38467217,1.31563711,1.32536293,1.37536293,0.06903506000000004,-0.050000000000000044
4.706857e-09,1.38467183,1.31563618,1.32536293,1.37536293,0.06903565,-0.050000000000000044
4.707857e-09,1.3846715,1.31563524,1.32536293,1.37536293,0.06903626000000007,-0.050000000000000044
4.708857e-09,1.38467118,1.31563431,1.32536293,1.37536293,0.06903686999999992,-0.050000000000000044
4.709857e-09,1.38467087,1.31563339,1.32536293,1.37536293,0.0690374800000002,-0.050000000000000044
4.710857e-09,1.38467058,1.31563246,1.32536293,1.37536293,0.06903812000000009,-0.050000000000000044
4.711857e-09,1.3846703,1.31563154,1.32536293,1.37536293,0.06903875999999998,-0.050000000000000044
4.712857e-09,1.38467003,1.31563062,1.32536293,1.37536293,0.06903941000000002,-0.050000000000000044
4.713857e-09,1.38466978,1.3156297,1.32536293,1.37536293,0.06904008000000017,-0.050000000000000044
4.714857e-09,1.38466954,1.31562878,1.32536293,1.37536293,0.06904076000000003,-0.050000000000000044
4.715857e-09,1.38466931,1.31562787,1.32536293,1.37536293,0.06904144000000012,-0.050000000000000044
4.716857e-09,1.38466909,1.31562695,1.32536293,1.37536293,0.06904214000000009,-0.050000000000000044
4.717857e-09,1.38466889,1.31562604,1.32536293,1.37536293,0.06904284999999999,-0.050000000000000044
4.718857e-09,1.3846687,1.31562513,1.32536293,1.37536293,0.06904357000000005,-0.050000000000000044
