k,h_mV,h_over_h0,kept
-3,-2.355999986769497e-05,1.6202920604635108e-07,no
-2,-2.355999986769497e-05,1.6202920604635108e-07,no
-1,0.023303760000080016,-0.0001602669673986335,no
0,-145.40588355999998,1.0,yes
1,-4.46987984571438,0.030740708259373414,yes
2,-0.005182274285690457,3.564005911460972e-05,no
3,0.02901586857136531,-0.00019955085627186648,no
4,0.014047725714095525,-9.661043535627567e-05,no
5,0.003863297142941974,-2.656905654954348e-05,no
6,-0.0032901314284786935,2.262722352029903e-05,no
7,-0.008448560000090536,5.810328848628976e-05,no
8,-0.012203845714243395,8.392951794971643e-05,no
9,-0.014967417142904204,0.0001029354299596005,no
10,-0.01701798857144467,0.00011703782649498088,no
