k,h_mV,h_over_h0,kept
-3,-6.972000005101009e-05,4.15488001546499e-07,no
-2,-6.972000005101009e-05,4.15488001546499e-07,no
-1,-0.017038512857011967,0.0001015389795052312,no
0,-167.80267972000013,1.0,yes
1,-5.242870577142873,0.031244260138701373,yes
2,-0.006281148571410623,3.743175366383606e-05,no
3,0.02074142285702905,-0.00012360602876925877,no
4,-0.0006677199999598887,3.979197478097867e-06,no
5,-0.01200300571437671,7.153047695308105e-05,no
6,-0.01855414857143851,0.00011057122926998807,no
7,-0.022615719999985465,0.0001347756784201697,no
8,-0.025272148571450374,0.00015060634677360418,no
9,-0.027097005714354125,0.00016148136465739932,no
10,-0.028386005714390157,0.00016916300598867538,no
