freq_Hz,S11_dB,Zdiff_ohm
1000000.0,0.0,0.0
1007704.81,0.0,0.0
1015468.99,0.0,0.0
1023292.99,0.0,0.0
1031177.27,0.0,0.0
1039122.3,0.0,0.0
1047128.55,0.0,0.0
1055196.48,0.0,0.0
1063326.57,0.0,0.0
1071519.31,0.0,0.0
1079775.16,0.0,0.0
1088094.63,0.0,0.0
1096478.2,0.0,0.0
1104926.36,0.0,0.0
1113439.61,0.0,0.0
1122018.45,0.0,0.0
1130663.4,0.0,0.0
1139374.95,0.0,0.0
1148153.62,0.0,0.0
1156999.93,0.0,0.0
1165914.4,0.0,0.0
1174897.55,0.0,0.0
1183949.92,0.0,0.0
1193072.04,0.0,0.0
1202264.43,0.0,0.0
1211527.66,0.0,0.0
1220862.25,0.0,0.0
1230268.77,0.0,0.0
1239747.76,0.0,0.0
1249299.79,0.0,0.0
1258925.41,0.0,0.0
1268625.2,0.0,0.0
1278399.72,0.0,0.0
1288249.55,0.0,0.0
1298175.28,0.0,0.0
1308177.47,0.0,0.0
1318256.74,0.0,0.0
1328413.66,0.0,0.0
1338648.84,0.0,0.0
1348962.88,0.0,0.0
1359356.39,0.0,0.0
1369829.98,0.0,0.0
1380384.26,0.0,0.0
1391019.87,0.0,0.0
1401737.42,0.0,0.0
1412537.54,0.0,0.0
1423420.88,0.0,0.0
1434388.08,0.0,0.0
1445439.77,0.0,0.0
1456576.62,0.0,0.0
1467799.27,0.0,0.0
1479108.39,0.0,0.0
1490504.64,0.0,0.0
1501988.7,0.0,0.0
1513561.25,0.0,0.0
1525222.96,0.0,0.0
1536974.52,0.0,0.0
1548816.62,0.0,0.0
1560749.96,0.0,0.0
1572775.25,0.0,0.0
1584893.19,0.0,0.0
1597104.5,0.0,0.0
1609409.89,0.0,0.0
1621810.1,0.0,0.0
1634305.84,0.0,0.0
1646897.87,0.0,0.0
1659586.91,0.0,0.0
1672373.72,0.0,0.0
1685259.04,0.0,0.0
1698243.65,0.0,0.0
1711328.3,0.0,0.0
1724513.77,0.0,0.0
1737800.83,0.0,0.0
1751190.26,0.0,0.0
1764682.86,0.0,0.0
1778279.41,0.0,0.0
1791980.72,0.0,0.0
1805787.6,0.0,0.0
1819700.86,0.0,0.0
1833721.32,0.0,0.0
1847849.8,0.0,0.0
1862087.14,0.0,0.0
1876434.17,0.0,0.0
1890891.75,0.0,0.0
1905460.72,0.0,0.0
1920141.94,0.0,0.0
1934936.28,0.0,0.0
1949844.6,0.0,0.0
1964867.79,0.0,0.0
1980006.73,0.0,0.0
1995262.31,0.0,0.0
2010635.44,0.0,0.0
2026127.01,0.0,0.0
2041737.94,0.0,0.0
2057469.16,0.0,0.0
2073321.57,0.0,0.0
2089296.13,0.0,0.0
2105393.77,0.0,0.0
2121615.44,0.0,0.0
2137962.09,0.0,0.0
2154434.69,0.0,0.0
2171034.21,0.0,0.0
2187761.62,0.0,0.0
2204617.92,0.0,0.0
2221604.09,0.0,0.0
2238721.14,0.0,0.0
2255970.07,0.0,0.0
2273351.9,0.0,0.0
2290867.65,0.0,0.0
2308518.36,0.0,0.0
2326305.07,0.0,0.0
2344228.82,0.0,0.0
2362290.66,0.0,0.0
2380491.67,0.0,0.0
2398832.92,0.0,0.0
2417315.48,0.0,0.0
2435940.45,0.0,0.0
2454708.92,0.0,0.0
2473621.99,0.0,0.0
2492680.79,0.0,0.0
2511886.43,0.0,0.0
2531240.05,0.0,0.0
2550742.78,0.0,0.0
2570395.78,0.0,0.0
2590200.2,0.0,0.0
2610157.22,0.0,0.0
2630267.99,0.0,0.0
2650533.72,0.0,0.0
2670955.59,0.0,0.0
2691534.8,0.0,0.0
2712272.58,0.0,0.0
2733170.14,0.0,0.0
