$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check7/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check7/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check7/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:43:07 +0000: Memory Usage (133632K) : passiv_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133632K) : passiv_sbump has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133632K) : passiv_pillar has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133760K) : passiv_pdl has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133760K) : metal2_drw has 529 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133760K) : metal2_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133888K) : metal2_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133888K) : metal2 has 529 polygons
2026-08-20 17:43:07 +0000: Memory Usage (133888K) : metal2_pin has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134016K) : metal2_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134016K) : metal2_nofill has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134016K) : metal2_text has 3 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134016K) : metal2_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134144K) : metal2_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134144K) : metal2_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134144K) : metal2_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134272K) : metal2_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134272K) : baspoly_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134272K) : baspoly_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134272K) : psd_drw has 503 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134400K) : nldb_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134400K) : digibnd_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134400K) : via1_drw has 6770 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134400K) : backmetal1_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134528K) : backmetal1_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134528K) : backmetal1_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134528K) : backmetal1_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134528K) : backmetal1_nofill has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134656K) : backmetal1_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134656K) : backmetal1_text has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134656K) : backmetal1_OPC has 0 polygons
