$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe2/pads_no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe2/pads_no_esd/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe2/pads_no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:34:52 +0000: Memory Usage (133672K) : metal1 has 1526 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133672K) : metal1_pin has 746 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133672K) : metal1_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133672K) : metal1_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133800K) : metal1_text has 5 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133800K) : metal1_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133928K) : metal1_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (133928K) : metal1_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134056K) : metal1_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134056K) : metal1_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134056K) : passiv_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134184K) : passiv_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134184K) : passiv_sbump has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134184K) : passiv_pillar has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134312K) : passiv_pdl has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134312K) : metal2_drw has 532 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134312K) : metal2_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134440K) : metal2_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134440K) : metal2 has 532 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134440K) : metal2_pin has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134568K) : metal2_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134568K) : metal2_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134568K) : metal2_text has 3 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134568K) : metal2_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134696K) : metal2_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134696K) : metal2_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134696K) : metal2_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134696K) : metal2_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134824K) : baspoly_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134824K) : baspoly_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134824K) : psd_drw has 503 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134824K) : nldb_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134952K) : digibnd_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134952K) : via1_drw has 6770 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134952K) : backmetal1_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (134952K) : backmetal1_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135080K) : backmetal1_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135080K) : backmetal1_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135080K) : backmetal1_nofill has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135080K) : backmetal1_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135208K) : backmetal1_text has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135208K) : backmetal1_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135208K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135208K) : backmetal1_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135336K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135336K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135336K) : backpassiv_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135464K) : res_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135464K) : sram_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135464K) : trans_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135464K) : ind_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135592K) : ind_pin has 4 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135592K) : ind_text has 4 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135592K) : salblock_drw has 12 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135592K) : via2_drw has 804 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135720K) : metal3_drw has 44 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135720K) : metal3_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135720K) : metal3_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3 has 44 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_pin has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_text has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : metal3_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : nwell_drw has 4 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : nwell_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : nwell_text has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135848K) : nbulay_drw has 1 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135976K) : nbulay_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135976K) : nbulay_block has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135976K) : emwind_drw has 4 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135976K) : emwind_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135976K) : deepco_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (135976K) : mim_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136104K) : edgeseal_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136104K) : substrate_drw has 500 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136104K) : substrate_text has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136104K) : dfpad_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136104K) : dfpad_pillar has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136104K) : dfpad_sbump has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136232K) : thickgateox_drw has 1 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136232K) : pldb_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136232K) : pwell_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136232K) : pwell_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136232K) : pwell_block has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136360K) : ic_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136360K) : via3_drw has 1014 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136360K) : metal4_drw has 23 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136360K) : metal4_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136360K) : metal4_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136360K) : metal4 has 23 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136488K) : metal4_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136488K) : metal4_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136488K) : metal4_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136488K) : metal4_text has 3 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136488K) : metal4_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136488K) : metal4_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : metal4_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : metal4_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : metal4_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : heattrans_drw has 123 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : heatres_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : fbe_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136616K) : empoly_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136744K) : digisub_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136744K) : text_drw has 639 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136744K) : via4_drw has 1008 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136744K) : metal5_drw has 28 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136744K) : metal5_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136744K) : metal5_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5 has 28 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5_text has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (136872K) : metal5_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137000K) : metal5_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137000K) : metal5_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137000K) : metal5_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137000K) : radhard_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137000K) : memcap_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137000K) : varicap_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137128K) : intbondvia_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137128K) : intbondmet_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137128K) : devbondvia_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137128K) : devbondmet_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137128K) : devtrench_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137256K) : redist_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137256K) : graphbot_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137256K) : graphtop_drw has 0 polygons
