$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 10:15:34 +0000: Memory Usage (133920K) : passiv_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (133920K) : passiv_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (133920K) : passiv_sbump has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134048K) : passiv_pillar has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134048K) : passiv_pdl has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134048K) : metal2_drw has 536 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134176K) : metal2_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134176K) : metal2_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134304K) : metal2 has 536 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134304K) : metal2_pin has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134304K) : metal2_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134432K) : metal2_nofill has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134432K) : metal2_text has 3 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134432K) : metal2_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134432K) : metal2_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134560K) : metal2_res has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134560K) : metal2_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134560K) : metal2_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134560K) : baspoly_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134688K) : baspoly_pin has 0 polygons
