$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check9/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check9/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check9/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:45:55 +0000: Memory Usage (128672K) : Starting running SG13G2 Klayout LVS runset on /workspace/layout/blocks/out/driver_stage/check9/driver_dut.gds
2026-08-20 17:45:55 +0000: Memory Usage (128672K) : Ruby Version for klayout: 3.2.3
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Loading database to memory is complete.
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : SG13G2 Klayout LVS runset output at: /workspace/layout/blocks/out/driver_stage/check9/lvs/driver_dut.lvsdb
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Evaluate switches.
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Extracted netlist with net names: true
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Extracted netlist with comments in details: false
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected NET_ONLY option: false
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected LAYOUT_NETLIST option: (none)
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected IGNORE_TOP_PORTS_MISMATCH option: true
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected IMPLICIT_NETS option: sub,sub!
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected TOP_LVL_PINS option: false
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected COMBINE DEVICES option: false
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected PURGE option: false
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected PURGE_NETS option: false
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected SIMPLIFY option: true
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected SERIES_RES option: true
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected PARALLEL_RES option: true
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Selected DISABLE_TAP_EXTRACTION option: true
