$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:41 +0000: Memory Usage (133176K) : metal1 has 1515 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133176K) : metal1_pin has 746 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133176K) : metal1_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133304K) : metal1_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133432K) : metal1_text has 3 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133432K) : metal1_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133560K) : metal1_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133560K) : metal1_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133560K) : metal1_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133688K) : metal1_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133688K) : passiv_drw has 2 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133688K) : passiv_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133816K) : passiv_sbump has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133816K) : passiv_pillar has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133816K) : passiv_pdl has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133944K) : metal2_drw has 524 polygons
2026-08-20 19:01:41 +0000: Memory Usage (133944K) : metal2_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134072K) : metal2_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134072K) : metal2 has 524 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134200K) : metal2_pin has 10 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134200K) : metal2_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134200K) : metal2_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134200K) : metal2_text has 3 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134328K) : metal2_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134328K) : metal2_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134328K) : metal2_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134328K) : metal2_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134456K) : metal2_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134456K) : baspoly_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134456K) : baspoly_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134456K) : psd_drw has 514 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134584K) : nldb_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134584K) : digibnd_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134584K) : via1_drw has 6612 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134584K) : backmetal1_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134712K) : backmetal1_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134712K) : backmetal1_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134712K) : backmetal1_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134840K) : backmetal1_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134840K) : backmetal1_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134840K) : backmetal1_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134840K) : backmetal1_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134840K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134968K) : backmetal1_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134968K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134968K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (134968K) : backpassiv_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135096K) : res_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135096K) : sram_drw has 0 polygons
