t_ui,vod_mV
0.015999999999999945,-62.48687000000008
0.07199999999999976,-62.475930000000176
0.12799999999999956,-62.478910000000056
0.18399999999999936,-62.49163999999996
0.2399999999999992,-62.510749999999945
0.295999999999999,-62.53346999999998
0.3520000000000017,-62.55769
0.4080000000000015,-62.581789999999856
0.4640000000000013,-62.604679999999966
0.5200000000000011,-62.62556000000008
0.576000000000001,-62.644039999999904
0.6320000000000007,-62.65988999999994
0.6880000000000005,-62.67310999999998
0.7440000000000003,-62.68379999999985
0.8000000000000002,-62.692179999999986
0.856,-62.69849999999999
0.9119999999999998,-62.70303999999993
0.9679999999999995,-62.70608000000011
1.0239999999999994,-62.70792000000003
1.0799999999999992,-62.70879000000007
1.135999999999999,-62.70893000000011
1.1920000000000017,-62.708549999999974
1.2480000000000016,-62.70779999999987
1.3040000000000014,-62.70682000000005
1.3600000000000012,-62.705739999999956
1.4160000000000008,-62.70460999999994
1.4720000000000006,-62.7035199999999
1.5280000000000005,-62.70249999999989
1.5840000000000003,-62.70157999999992
1.6400000000000001,-62.7007799999999
1.696,-62.700109999999974
1.7519999999999998,-62.69954000000011
1.8079999999999996,-62.699099999999895
1.8639999999999994,-62.698739999999866
1.9199999999999993,-62.69848999999983
1.975999999999999,-62.698319999999974
1.6000000010787207e-06,-62.69825999999989
0.005601599999999901,-62.71862000000006
0.01680160000000044,-62.75286000000002
0.03920160000000152,-62.67380999999994
0.08400160000000079,-61.295859999999976
0.1400016000000006,-56.63642999999996
0.19600160000000041,-48.56398999999989
0.2520016000000002,-37.34305000000005
0.25760159999999904,-36.02477000000004
0.2688015999999996,-33.34096000000009
0.29120160000000067,-27.808799999999856
0.3360015999999999,-16.80583000000002
0.39200159999999973,-4.031209999999952
0.44800159999999956,7.206969999999924
0.5040015999999994,16.842390000000094
0.5600015999999991,24.92611999999994
0.6160015999999989,31.54754000000004
0.6720016000000016,36.82498000000001
0.7280016000000015,40.89859000000007
0.7840016000000013,43.92175999999992
0.8400016000000011,46.051920000000024
0.8960016000000008,47.44322000000012
0.9520016000000007,48.24044999999999
0.9999992000000002,48.54904999999987
1.005599199999999,48.58440999999991
1.0167991999999995,48.64173999999988
1.0391992000000005,48.56895999999988
1.0839991999999998,47.064529999999884
1.1399991999999997,42.04620999999986
1.1959991999999995,33.47241000000012
1.2519991999999993,21.68244999999991
1.2575992000000011,20.305510000000027
1.2687992000000017,17.50435000000006
1.2911991999999997,11.737639999999994
1.335999199999999,0.27007000000001113
1.3919992000000017,-13.063959999999986
1.4479992000000015,-24.818999999999924
1.5039992000000013,-34.91372999999997
1.5599992000000011,-43.392560000000024
1.615999200000001,-50.34393000000015
1.6719992000000008,-55.888619999999946
1.7279992000000006,-60.171490000000105
1.7839992000000005,-63.35202999999989
1.8399992000000003,-65.59459000000012
1.8959992,-67.06038000000004
1.9519991999999997,-67.90107
0.007999199999999615,-68.25474999999992
0.06399919999999942,-68.24312000000022
0.11999919999999922,-67.97068000000017
0.17599919999999902,-67.52446
0.23199920000000174,-66.97504999999992
0.28799920000000157,-66.37778999999999
0.34399920000000134,-65.77462
0.39999920000000116,-65.19573999999983
0.455999200000001,-64.6616900000001
0.5119992000000008,-64.18498000000005
0.5679992000000006,-63.77188
0.6239992000000004,-63.42380999999997
0.6799992000000002,-63.1387699999999
0.7359992,-62.91226999999999
0.7919991999999998,-62.73835999999999
0.8479991999999996,-62.61029000000007
0.9039991999999994,-62.52104999999997
0.9599991999999993,-62.46375999999998
1.015999199999999,-62.43204999999996
1.0719992000000018,-62.42006999999994
1.1279992000000016,-62.422780000000124
1.1839992000000013,-62.43580999999998
1.239999200000001,-62.455600000000054
1.295999200000001,-62.479249999999986
1.3519992000000007,-62.50453999999994
1.4079992000000006,-62.5297600000001
1.4639992000000004,-62.553740000000026
1.5199992000000002,-62.575669999999974
1.5759992,-62.59508000000014
1.6319991999999999,-62.61176000000002
1.6879991999999997,-62.625689999999956
1.7439991999999995,-62.63697999999995
1.7999991999999991,-62.645840000000064
1.855999199999999,-62.65253999999998
1.9119992000000017,-62.657369999999936
1.9679992000000015,-62.660630000000104
0.02399920000000137,-62.662620000000004
0.07999920000000117,-62.66357
0.13599920000000099,-62.66378000000006
0.19199920000000079,-62.663410000000084
0.24799920000000059,-62.66265999999998
0.3039992000000004,-62.66167
0.3599992000000002,-62.66055000000015
0.4159992,-62.65940000000003
0.47199919999999984,-62.658270000000016
0.5279991999999997,-62.65721999999996
0.5839991999999995,-62.65626999999996
0.6399991999999992,-62.65543000000018
0.695999199999999,-62.654729999999994
0.7519992000000018,-62.654159999999905
0.8079992000000016,-62.65368999999987
0.8639992000000014,-62.65333000000006
0.9199992000000012,-62.653069999999865
0.975999200000001,-62.65288999999985
1.031999200000001,-62.65277999999985
1.0879992000000005,-62.652710000000056
1.1439992000000003,-62.652699999999896
1.1999992000000002,-62.652719999999995
1.2559992,-62.65274999999981
1.3119991999999998,-62.652810000000116
1.3679991999999996,-62.65288000000013
1.4239991999999995,-62.65295000000015
1.4799991999999993,-62.65302000000017
1.5359991999999991,-62.65310000000013
1.5919992000000018,-62.653170000000145
1.6479992000000017,-62.65324000000017
1.7039992000000015,-62.65330000000002
1.759999200000001,-62.65335999999988
1.815999200000001,-62.65341000000002
1.8719992000000008,-62.65345999999994
1.9279992000000006,-62.653499999999916
1.9839992000000004,-62.65353999999989
1.9999983999999993,-62.65355000000006
0.005598400000001001,-62.67392000000016
0.016798400000001542,-62.70819999999988
0.03919839999999973,-62.62919999999994
0.08399839999999899,-61.251270000000076
0.1399984000000017,-56.59180000000008
0.19599840000000152,-48.51926999999989
0.2519984000000013,-37.29822999999999
0.2575984000000001,-35.97994999999998
0.26879840000000066,-33.29612000000015
0.29119840000000174,-27.763919999999942
0.33599840000000103,-16.76090000000019
0.39199840000000086,-3.9861900000000006
0.44799840000000063,7.252060000000116
0.5039984000000004,16.887539999999923
0.5599984000000002,24.971319999999906
0.6159984000000001,31.592769999999824
0.6719983999999999,36.87024000000005
0.7279983999999997,40.943880000000156
0.7839983999999994,43.96705000000001
0.8399983999999993,46.09721000000011
0.8959983999999991,47.488499999999824
0.9519984000000018,48.285719999999976
1.0079984000000015,48.62049999999996
1.0639984000000013,48.608769999999964
1.1199984000000012,48.349980000000016
1.175998400000001,47.92686999999995
1.2319984000000008,47.40649999999991
1.2879984000000007,46.84140000000014
1.3439984000000005,46.27130999999984
1.3999984000000003,45.72485000000004
1.4559984000000001,45.221409999999906
1.5119984,44.77273999999998
1.5679983999999998,44.38472999999998
1.6239983999999994,44.05864000000004
1.6799983999999992,43.79246999999986
1.735998399999999,43.581909999999894
1.7919984000000018,43.421249999999965
1.8479984000000016,43.30401999999989
1.9039984000000014,43.22356999999988
1.9599984000000013,43.17333000000012
0.015998400000001037,43.14722999999998
0.07199840000000085,43.13973999999998
0.12799840000000065,43.146029999999946
0.18399840000000045,43.16199999999992
0.23999840000000028,43.18425000000015
0.29599840000000005,43.21006000000005
0.3519983999999999,43.237310000000086
0.4079983999999997,43.2644000000002
0.4639983999999995,43.290240000000146
0.5199983999999993,43.314060000000154
0.5759983999999991,43.33542000000001
0.631998399999999,43.35415000000009
0.6879983999999987,43.370220000000124
0.7439983999999985,43.383750000000056
0.7999983999999983,43.3949600000001
0.8559983999999982,43.40407999999996
0.911998399999998,43.41141000000004
0.9679983999999978,43.417250000000074
1.000002400000003,43.420000000000016
1.005602399999999,43.44077000000013
1.0168024000000024,43.47559000000012
1.0392023999999978,43.39556
1.0840024,42.00442000000004
1.1400023999999997,37.31289999999987
1.1960023999999996,29.204009999999947
1.2520023999999994,17.955590000000132
1.257602400000001,16.63551000000019
1.2688023999999987,13.948410000000022
1.2912023999999998,8.411160000000084
1.336002400000002,-2.5997800000001625
1.3920024000000017,-15.383389999999997
1.4480024000000016,-26.62822000000009
1.5040024000000014,-36.2657099999999
1.5600024000000012,-44.346930000000114
1.6160024000000008,-50.96218000000019
1.6720024000000007,-56.23071000000013
1.7280024000000005,-60.29340999999988
1.7840024000000003,-63.30426
1.8400024000000001,-65.42124999999999
1.8960024,-66.79901999999993
1.9520023999999998,-67.58270999999993
2.1713491079516976e-15,-67.87992999999992
0.005599999999998099,-67.91403000000007
0.016800000000001536,-67.9690599999998
0.039200000000002615,-67.89369
0.08399999999999899,-66.39448999999998
0.1399999999999988,-61.39655999999994
0.1959999999999986,-52.84589999999989
0.2519999999999984,-41.069219999999795
0.2576000000000001,-39.69265000000011
0.26879999999999776,-36.891910000000024
0.29119999999999885,-31.1245899999999
0.336000000000001,-19.654169999999915
