t_ui,vod_mV
0.015999999999999945,-62.749109999999945
0.07199999999999976,-62.052419999999884
0.12799999999999956,-61.410839999999965
0.18399999999999936,-60.819869999999995
0.2399999999999992,-60.27555000000007
0.295999999999999,-59.77416000000013
0.3520000000000017,-59.312409999999986
0.4080000000000015,-58.88713000000001
0.4640000000000013,-58.49547
0.5200000000000011,-58.13471999999997
0.576000000000001,-57.802479999999875
0.6320000000000007,-57.4964200000001
0.6880000000000005,-57.21453999999993
0.7440000000000003,-56.95486000000005
0.8000000000000002,-56.71569999999981
0.856,-56.49537000000016
0.9119999999999998,-56.29244
0.9679999999999995,-56.10548999999998
1.0239999999999994,-55.93330000000019
1.0799999999999992,-55.774649999999816
1.135999999999999,-55.62851999999996
1.1920000000000017,-55.49389000000016
1.2480000000000016,-55.36987999999998
1.3040000000000014,-55.255620000000064
1.3600000000000012,-55.15036000000006
1.4160000000000008,-55.05338000000015
1.4720000000000006,-54.96405000000016
1.5280000000000005,-54.88174000000012
1.5840000000000003,-54.80590000000007
1.6400000000000001,-54.736019999999996
1.696,-54.671640000000025
1.7519999999999998,-54.61231999999994
1.8079999999999996,-54.557660000000176
1.8639999999999994,-54.507299999999816
1.9199999999999993,-54.46089000000009
1.975999999999999,-54.418130000000176
1.6000000010787207e-06,-54.40084
0.005601599999999901,-54.44441000000011
0.01680160000000044,-54.520770000000105
0.03920160000000152,-54.305950000000045
0.08400160000000079,-50.558019999999985
0.1400016000000006,-37.84196999999989
0.19600160000000041,-16.321250000000063
0.2520016000000002,12.117650000000202
0.25760159999999904,15.336950000000016
0.2688015999999996,21.84280999999988
0.29120160000000067,34.89982000000013
0.3360015999999999,58.860899999999994
0.39200159999999973,81.9530100000001
0.44800159999999956,96.50815999999995
0.5040015999999994,103.77305000000004
0.5600015999999991,105.94844999999987
0.6160015999999989,105.24125000000018
0.6720016000000016,103.26167999999991
0.7280016000000015,100.85148
0.7840016000000013,98.27352
0.8400016000000011,95.53051999999984
0.8960016000000008,92.61063000000003
0.9520016000000007,89.58038000000013
0.9999992000000002,86.98578
1.005599199999999,86.73507999999997
1.0167991999999995,86.22613000000001
1.0391992000000005,84.86288999999991
1.0839991999999998,78.92012999999997
1.1399991999999997,63.64965999999983
1.1959991999999995,39.75366000000014
1.2519991999999993,9.081850000000058
1.2575992000000011,5.646969999999918
1.2687992000000017,-1.2873200000000917
1.2911991999999997,-15.184020000000187
1.335999199999999,-40.752219999999895
1.3919992000000017,-65.71462000000005
1.4479992000000015,-81.98679999999992
1.5039992000000013,-90.82444000000001
1.5599992000000011,-94.44199999999992
1.615999200000001,-95.0614799999998
1.6719992000000008,-94.30652000000018
1.7279992000000006,-93.0284400000001
1.7839992000000005,-91.49695999999996
1.8399992000000003,-89.72020999999985
1.8959992,-87.69140999999992
1.9519991999999997,-85.48208999999996
0.007999199999999615,-83.21944000000015
0.06399919999999942,-81.02400999999992
0.11999919999999922,-78.96736000000004
0.17599919999999902,-77.06749999999984
0.23199920000000174,-75.31021000000004
0.28799920000000157,-73.67368999999991
0.34399920000000134,-72.14384000000007
0.39999920000000116,-70.71611
0.455999200000001,-69.39090000000014
0.5119992000000008,-68.16755000000008
0.5679992000000006,-67.0419499999999
0.6239992000000004,-66.00673000000002
0.6799992000000002,-65.05359
0.7359992,-64.17483000000001
0.7919991999999998,-63.36425999999995
0.8479991999999996,-62.616830000000064
0.9039991999999994,-61.928229999999914
0.9599991999999993,-61.294210000000014
1.015999199999999,-60.71062000000005
